"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"1"	"ENSMUSG00000000247"	"Lhx2"	0.978724835893605	"specific"	"FAPs"	1	0.197925434332666	"D4"
"2"	"ENSMUSG00000001138"	"Cnnm3"	0.249394302851217	"housekeeping"	"ECs"	1	0.888854017260872	"D4"
"3"	"ENSMUSG00000001143"	"Lman2l"	0.235604317495241	"housekeeping"	"M2"	1	0.809998341858082	"D4"
"4"	"ENSMUSG00000001305"	"Rrp15"	0.181218121080425	"housekeeping"	"M1"	1	0.806463179564847	"D4"
"5"	"ENSMUSG00000001674"	"Ddx18"	0.0668003148896314	"housekeeping"	"FAPs"	1	1.15723698401044	"D4"
"6"	"ENSMUSG00000001855"	"Nup214"	0.114252847998123	"housekeeping"	"M1"	1	1.15474812875845	"D4"
"7"	"ENSMUSG00000002459"	"Rgs20"	0.854417269522215	"specific"	"FAPs"	1	0.43773810254098	"D4"
"8"	"ENSMUSG00000002546"	"Golga2"	0.288689415510431	"housekeeping"	"FAPs"	1	1.39441355903939	"D4"
"9"	"ENSMUSG00000002550"	"Uck1"	0.222470292211286	"housekeeping"	"FAPs"	1	0.905266996290687	"D4"
"10"	"ENSMUSG00000002881"	"Nab1"	0.164282873364645	"housekeeping"	"M2"	1	1.43707882966132	"D4"
"11"	"ENSMUSG00000003135"	"Cnot11"	0.223279605425631	"housekeeping"	"M2"	1	1.14859324720271	"D4"
"12"	"ENSMUSG00000003418"	"St8sia6"	0.998740052771308	"specific"	"ECs"	1	0.788753672149819	"D4"
"13"	"ENSMUSG00000003458"	"Ncstn"	0.160547841202793	"housekeeping"	"M2"	1	1.66784349197325	"D4"
"14"	"ENSMUSG00000003464"	"Pex19"	0.165204662210335	"housekeeping"	"FAPs"	1	1.12584598088493	"D4"
"15"	"ENSMUSG00000003721"	"Insig2"	0.244475949797115	"housekeeping"	"FAPs"	1	1.10673751350345	"D4"
"16"	"ENSMUSG00000004105"	"Angptl2"	0.55131645354478	"intermediate"	"FAPs"	1	1.8175320111638	"D4"
"17"	"ENSMUSG00000004364"	"Cul3"	0.0912229182489409	"housekeeping"	"M1"	1	1.58222501452245	"D4"
"18"	"ENSMUSG00000004552"	"Ctse"	0.788083197199817	"intermediate"	"M2"	1	0.602154647064432	"D4"
"19"	"ENSMUSG00000004707"	"Ly9"	0.758850178853295	"intermediate"	"M1"	1	1.60416908183911	"D4"
"20"	"ENSMUSG00000004709"	"Cd244a"	0.862255924408913	"specific"	"M2"	1	0.958301827995671	"D4"
"21"	"ENSMUSG00000004872"	"Pax3"	0.99966689240127	"specific"	"sCs"	1	0.161657006268463	"D4"
"22"	"ENSMUSG00000004880"	"Lbr"	0.309472881294185	"housekeeping"	"ECs"	1	1.58118869425413	"D4"
