"ensembl"	"Resolving.Mac"	"Inflammatory.Mac"	"FAPs"	"MuSCs"	"ECs"	"Neutrophils"
"ENSMUSG00000000247"	0	0	0.626515422927095	0.429140465941028	0	0
"ENSMUSG00000001138"	4.57829794864646	3.69161221872787	3.23771283584885	4.91484997350925	3.02332890554356	6.72156672622015
"ENSMUSG00000001143"	7.72852784069113	6.34670932683064	2.30243488005858	3.15962222459947	1.79959014823267	4.45752419336172
"ENSMUSG00000001305"	2.41191844201365	2.34484740450397	9.02604973863947	4.93154506104843	1.45331239230657	0.841392501625133
"ENSMUSG00000001674"	9.10929765634668	7.65946939441451	22.9918026829113	11.7261970447071	3.9705516627898	5.86387444409292
"ENSMUSG00000001855"	14.1789198066742	10.7137222681354	9.70748577247148	10.6431730851105	6.09098182985029	9.87540201231814
"ENSMUSG00000002459"	0	0	0.731676235176149	0.86833790334737	0.509445782173137	0
"ENSMUSG00000002546"	8.11569486307848	7.99899403551654	16.2382095737176	6.83023117578214	5.1504494397218	11.1675295681408
"ENSMUSG00000002550"	6.07732102482823	3.13647678334651	5.82920545315626	4.25138222636403	1.39100032323782	3.57356562705449
"ENSMUSG00000002881"	23.1369726326927	20.2311506888341	18.4399692100399	15.6611899116067	9.12170252238364	36.8103887845851
"ENSMUSG00000003135"	12.3619459715628	11.3216636086558	6.98004668252999	4.95813775019781	2.99190530051086	26.3258480803663
"ENSMUSG00000003418"	1.2658229481177	0	0	0	2.33138020519243	0
"ENSMUSG00000003458"	40.0364929564534	36.8931194210668	27.1906815765744	17.1966508542147	10.7497171380252	28.9756106409394
"ENSMUSG00000003464"	5.00298455512637	4.95402290256519	8.15362630378602	10.7374518184295	3.49731003564879	4.73772661538533
"ENSMUSG00000003721"	6.21835974911938	4.13983703478808	9.95338013214411	12.2193300301708	3.92138503101733	4.50566278034265
"ENSMUSG00000004031"	0	0	0	0.0951937684295663	0	0
"ENSMUSG00000004105"	1.98796377215767	2.70548754371517	51.49231418283	23.0657100099444	1.10781461671941	6.57209592327151
"ENSMUSG00000004110"	0.315055916965728	0	0	0	0	1.13390431883039
"ENSMUSG00000004364"	30.3005681363043	24.9649722524182	35.6739890412011	27.1684035730429	12.8817731324277	50.9039538207454
"ENSMUSG00000004552"	4.71730044444038	3.09518367374014	0	0	0	14.8193277291874
"ENSMUSG00000004707"	48.392628651258	36.6960822495007	0	0	0	11.3441521990514
"ENSMUSG00000004709"	7.91269243949264	6.73696588235302	0	0	0	15.3331540141898
"ENSMUSG00000004872"	0	0	0	0.802834765580284	0	0
"ENSMUSG00000004880"	18.0675205483096	12.899928216269	20.5706304595577	13.9309600109146	19.7910802898867	66.1249254457335
"ENSMUSG00000005338"	0.250459002799507	0	6.11115892327693	1.96822066460058	1.79021299751102	0
"ENSMUSG00000005501"	17.5067516366211	12.7389564308409	9.54647119038853	10.3856045512869	7.27260265585607	28.0318251522607
"ENSMUSG00000005674"	2.32575582973695	2.16701205080506	1.31497466150791	1.60047804161389	0.764551131426474	1.02136893514185
"ENSMUSG00000005677"	2.50394435568712	2.3201182033217	1.22367329442636	1.38864046897045	0.814509844021364	0
"ENSMUSG00000005681"	1.89207695799079	2.39665425558563	0	0	0	1.9645973830839
"ENSMUSG00000005763"	1.07854199137739	0	0	0.423194995830821	4.26640275702317	0
"ENSMUSG00000005886"	28.7227231659952	16.0479851569844	14.0704888325108	13.0806344376009	9.53867321595562	48.5459701798736
"ENSMUSG00000006010"	10.087148132943	7.26482522614546	11.5495519079716	6.09138679408212	4.36464450128928	9.29490320269587
"ENSMUSG00000006299"	14.0621658386054	12.811276313585	11.9821688512436	10.9145314992055	4.03642718246382	12.4791156519342
"ENSMUSG00000006301"	11.9338906087749	12.1992868246523	13.8270631918558	11.7383066574873	8.64193603121192	5.30798542162337
"ENSMUSG00000006412"	1.74613049738042	1.63767224416108	2.46481341948347	3.0746772905014	1.09623656370009	3.23537873998187
"ENSMUSG00000006471"	7.70051352057868	3.28416733867914	4.1792286890806	3.70011714668719	2.31773661984619	7.56843632092993
"ENSMUSG00000006542"	0	0.21934426185465	0	0.818297895516091	0	0
"ENSMUSG00000006576"	0	0	2.58081720095536	2.46307446711568	0.169150653709571	0
"ENSMUSG00000007097"	0	0	0.404977238853088	12.1387892663961	0.71590429510013	0
"ENSMUSG00000007107"	0	0	0.144931061938254	0.528021068654495	0	0
"ENSMUSG00000008136"	0	0	12.6310695542793	1.39831629282551	0.176181149834856	0
"ENSMUSG00000008475"	106.191217202296	105.636365435825	44.1299094855392	15.1059138751959	19.1907333863608	124.753664727521
"ENSMUSG00000009030"	6.43106378722222	6.26941213716481	7.35668119911715	5.1008570101318	4.32028102493573	9.93824910350184
"ENSMUSG00000009214"	0	0	0	13.097214257019	0	0
"ENSMUSG00000009418"	15.6597700199693	13.1165842149119	23.7512059841251	14.8572836045813	24.8004780319522	4.88126808616896
"ENSMUSG00000009551"	0	0	0	0.349149678791442	8.66720272905078	17.2785731066798
"ENSMUSG00000009563"	6.74922596928382	6.10383337202372	6.65419198320257	3.3144959115623	4.62503312461611	9.40487653544644
"ENSMUSG00000009614"	0.543669596237092	0	2.74465801821442	1.64431115742736	0.35681828907515	0
"ENSMUSG00000009633"	0.499898621993416	0	1.40981697311651	2.64724936479102	0	23.2699688263092
"ENSMUSG00000009772"	33.0837860177378	24.9320634451782	2.20217386351656	0.439797913199479	2.52793347439415	40.9133188595326
