"ensembl"	"Resolving.Mac"	"Inflammatory.Mac"	"FAPs"	"MuSCs"	"ECs"
"ENSMUSG00000000247"	0	0	0.647736045110109	0.295865193148839	0
"ENSMUSG00000001138"	3.10190945583442	5.14103613709011	4.48504286429143	4.92102422164126	5.11429842995425
"ENSMUSG00000001143"	6.60119008623187	5.0781427558677	2.6903501220438	3.30909022293515	2.77063938855919
"ENSMUSG00000001305"	3.09747746997714	1.94597649579428	3.86130454645969	4.62418839653025	2.23402841006106
"ENSMUSG00000001674"	11.1331194397864	6.51078887634535	11.3448981964853	13.6876170354909	7.67162340471684
"ENSMUSG00000001855"	11.3915354996907	10.9392024548132	7.42079564905493	10.5538857233012	8.78859356126538
"ENSMUSG00000002459"	0.479046112804789	0	1.3642352239136	1.16304885035754	0.818156558043044
"ENSMUSG00000002546"	8.9812488138748	6.72052512486597	17.9682430290626	7.80407994533424	8.22324114987028
"ENSMUSG00000002550"	3.87491969795063	4.5857065397585	6.06246774010831	6.19726704840513	3.64066616972404
"ENSMUSG00000002881"	26.8202651379797	18.0250326530098	12.8278406708675	24.6618643151217	14.0519839313491
"ENSMUSG00000003135"	11.2726651846671	7.98740154546625	5.80948565380236	5.90965120664866	4.68090213988044
"ENSMUSG00000003418"	0	0.637405269412415	0	0	3.96009524285714
"ENSMUSG00000003458"	37.378001550236	32.2770982644592	29.4649656065662	17.2895092252779	17.7235815187523
"ENSMUSG00000003464"	5.53690699426265	4.95125524193297	9.34284378511229	10.2424032551921	5.21720484271504
"ENSMUSG00000003721"	5.2113460858043	4.99890302772254	11.6436145953919	10.9684234048411	6.53733127361794
"ENSMUSG00000004031"	0	0	0	0.437719570953824	0
"ENSMUSG00000004105"	3.26410576739685	2.48643395509596	45.1378424541274	40.879956774633	2.8308434055199
"ENSMUSG00000004364"	35.6610352732114	24.7440623582654	25.1931553362925	25.6412911974513	22.4125997606358
"ENSMUSG00000004552"	3.21755625722976	3.37273717096735	0	0	0
"ENSMUSG00000004707"	32.2068014999966	35.4810202241479	0	0	0
"ENSMUSG00000004709"	6.63963155850282	2.30765094942711	0	0	0
