symbol	cellty	varianceORproduct	criterionselection
Serping1	FAPs	114880.777420126	VARIANCEBASED
Serping1	sCs	103.03551092686554	VARIANCEBASED
Col1a2	FAPs	952829.0548564394	VARIANCEBASED
Col1a2	sCs	40.66969269637997	VARIANCEBASED
Comp	FAPs	165.2576406653361	VARIANCEBASED
Cp	FAPs	60.440861289823275	VARIANCEBASED
Cp	sCs	24.51144620055698	VARIANCEBASED
Edn3	sCs	4.614100217292081	VARIANCEBASED
Gpi1	ECs	34.07185593389602	VARIANCEBASED
Gpi1	M1	18.328580571323528	VARIANCEBASED
Gpi1	M2	4.549144535846394	VARIANCEBASED
Gpi1	Neutro	13.3696250705572	prodbased
Gpi1	sCs	20.92027846534732	VARIANCEBASED
Icam1	ECs	1757.5971102031158	VARIANCEBASED
Icam1	FAPs	7.752879808837271	VARIANCEBASED
Icam1	M2	7.286508781728695	VARIANCEBASED
Icam1	Neutro	177.4172666382976	prodbased
Jag1	M1	8.837417018993765	VARIANCEBASED
Jag1	sCs	8.959327140700552	VARIANCEBASED
Lpl	ECs	60.867606857013804	VARIANCEBASED
Lpl	FAPs	2211.7865655676687	VARIANCEBASED
Lpl	M1	1784.8690818962477	VARIANCEBASED
Lpl	M2	156.35354960274833	VARIANCEBASED
Lpl	Neutro	3.812950708703136	prodbased
Myoc	FAPs	20182.3547284378	VARIANCEBASED
Pros1	ECs	3.4040010259284608	VARIANCEBASED
Pros1	FAPs	9.637687602595157	VARIANCEBASED
Sele	ECs	8.709512806609164	VARIANCEBASED
Vwf	ECs	449.41286275326337	VARIANCEBASED
Vwf	Neutro	20.061359136838732	prodbased
Il10	ECs	95.895017137869	VARIANCEBASED
Il10	M1	4.501018284115899	VARIANCEBASED
Il10	M2	10.261763229661826	VARIANCEBASED
Il10	Neutro	41.19307229992838	prodbased
Il1b	ECs	565146.3324740485	VARIANCEBASED
Il1b	M1	34.97806841112843	VARIANCEBASED
Il1b	M2	6762.607960578873	VARIANCEBASED
Il1b	Neutro	3515.3062777715604	prodbased
Il15	ECs	15.369503863626603	VARIANCEBASED
Il15	M1	4.283729077129044	VARIANCEBASED
Il15	Neutro	9.628676461162627	prodbased
Cd14	ECs	661.8375635125017	VARIANCEBASED
Cd14	M1	233.23709952850683	VARIANCEBASED
Cd14	M2	354.51447221823605	VARIANCEBASED
Cd14	Neutro	89.90202107605415	prodbased
Tnf	ECs	26700.80747494806	VARIANCEBASED
Tnf	M1	131.60524248163642	VARIANCEBASED
Tnf	M2	341.3395434684178	VARIANCEBASED
Tnf	Neutro	796.2480318400725	prodbased
Lta	Neutro	2.9071494735761303	prodbased
Il6	FAPs	311.3657119322836	VARIANCEBASED
Hgf	M1	12.814091793075104	VARIANCEBASED
Hgf	Neutro	3.522463445790131	prodbased
Cd44	ECs	5758.603532698706	VARIANCEBASED
Cd44	FAPs	69.67333336752006	VARIANCEBASED
Cd44	M1	477.9822530803565	VARIANCEBASED
Cd44	M2	1557.1348559026992	VARIANCEBASED
Cd44	Neutro	347.7567539218665	prodbased
Cd44	sCs	34.04334897445451	VARIANCEBASED
Igf2	FAPs	33047.78409788778	VARIANCEBASED
Igf2	sCs	2709.424379070756	VARIANCEBASED
Igf1	FAPs	5302.469411695475	VARIANCEBASED
Igf1	M2	14.38857898734679	VARIANCEBASED
Ltbp1	FAPs	13.707975521525647	VARIANCEBASED
Ltbp1	sCs	22.847296172137593	VARIANCEBASED
Vtn	FAPs	8.018787315939596	VARIANCEBASED
Vtn	sCs	127.07312345227506	VARIANCEBASED
Tgfb1	ECs	693.0387209570315	VARIANCEBASED
Tgfb1	M1	51.730580048774705	VARIANCEBASED
Tgfb1	M2	17.393509163532325	VARIANCEBASED
Tgfb1	Neutro	39.825153464480664	prodbased
Anxa1	ECs	14.583757912068387	VARIANCEBASED
Anxa1	FAPs	699.4443815783487	VARIANCEBASED
Anxa1	M1	938.755761315368	VARIANCEBASED
Anxa1	M2	62.02441238555642	VARIANCEBASED
Anxa1	Neutro	26.500166051683472	prodbased
Anxa1	sCs	49.33749353563205	VARIANCEBASED
Fgf1	FAPs	4.506962671630256	VARIANCEBASED
Gas6	FAPs	275.2083897982527	VARIANCEBASED
Icam2	ECs	91.18143404990353	VARIANCEBASED
Il12a	FAPs	1.1486680783267427	prodbased
Kitl	ECs	579.5689262478838	VARIANCEBASED
Plat	FAPs	156.30045527866216	VARIANCEBASED
Vcam1	ECs	3.0142868040008723	VARIANCEBASED
Vcam1	FAPs	136.03719610192016	VARIANCEBASED
Vcam1	sCs	236.86951625217637	VARIANCEBASED
Adam10	ECs	66.98794412676015	VARIANCEBASED
Adam10	M1	7.1307179620687755	VARIANCEBASED
Adam10	M2	5.275662987055166	VARIANCEBASED
Adam10	Neutro	9.896215007699427	prodbased
Adm	FAPs	12.059640102095901	VARIANCEBASED
Igfbp4	FAPs	4266.804724896927	VARIANCEBASED
Il18	M1	32.25100289766492	VARIANCEBASED
Il18	M2	18.996037290402047	VARIANCEBASED
Cxcl10	ECs	28.458551075151114	VARIANCEBASED
Cxcl10	FAPs	969.9364481038144	VARIANCEBASED
Cxcl10	M1	323.5751834842473	VARIANCEBASED
Cxcl10	M2	155.35691737505041	VARIANCEBASED
Cxcl10	Neutro	4.392468387540306	prodbased
