"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"gene_symbols"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	0.0128112750841368	0.643475250951886	0.380730400722792	0.745901857675066	1.78293759882728	6	"Abcc5, Psmd8, Psmb6, Abca9"
"REACTOME_ABC_TRANSPORTER_DISORDERS"	0.101851851851852	0.643475250951886	0.213927855492356	0.686390777890297	1.45297011902129	4	"Psmd8, Psmb6, Psma2, Vcp"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS"	0.804100227790433	0.959156785243742	0.0618406035753285	0.396391375608134	0.73031268762052	3	"E2f2, Cdk4"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT"	0.754385964912281	0.949379903821817	0.0525898950623616	-0.39859437751004	-0.772502204798666	4	"Polr2a, Ncbp2, Polr2f, Ctdp1"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"	0.454706927175844	0.813257573806298	0.0778840111977068	-0.591775325977934	-1.04214406895374	3	"H2bc4, Ncoa2, H2az1"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS"	0.6	0.92258064516129	0.0633597010643758	-0.466060869249634	-0.903256717555321	4	"H2bc4, Polr2a, H2az1"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP"	0.865603644646925	0.963175122749591	0.0583452776743612	0.365095285857573	0.672652675763097	3	"Srebf2, Ncoa2, Carm1"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S"	0.949074074074074	0.978144811478145	0.0547939500773363	0.278392613305419	0.589308833274669	4	"Eif3i, Rps3a1, Rps5"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM"	0.175257731958763	0.693922902494331	0.197822021315103	0.261327226705189	1.17414587142174	50	"Cd28, Lat, Vcam1, Ctsk, Psmd8, Slamf7, Psmb6, Lair1, Klhl21, Cd274, Fcgr2b"
"REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION"	0.422735346358792	0.813257573806298	0.0817515582532145	-0.605817452357071	-1.0668729112679	3	"Adcy4, Hrh2, Vipr1"
"REACTOME_AGGREPHAGY"	0.488454706927176	0.844096955777476	0.0741758965588009	-0.569753096743785	-1.00336189170838	3	"Hsf1"
"REACTOME_AMINO_ACIDS_REGULATE_MTORC1"	0.0219555192547398	0.643475250951886	0.352487857583619	0.559427795166529	1.65492018636175	11	"Atp6v0d2, Fnip2, Atp6v1a, Atp6v1c1, Rragc, Atp6v1d, Atp6v1f, Fnip1, Atp6v1b2, Wdr59, Sesn1"
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE"	0.883826879271071	0.964788120120329	0.0573667426768556	0.34651878515647	0.638427273828474	3	"Slc43a2, Slc6a12"
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE"	0.811594202898551	0.959156785243742	0.0642140881844605	0.31356783919598	0.708517379838387	5	"Haus2, Cdk5rap2, Csnk1d, Plk4, Dynll1"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION"	0.70074812967581	0.949379903821817	0.0730744399126987	0.301470262999072	0.795400408904837	8	"Psmd8, Psmb6, H2-D1, Psma2"
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION"	0.790884718498659	0.958018725460586	0.070619624712259	0.239010457761045	0.745687316965738	13	"Psmd8, Psmb6, Klhl21, Fzr1, Psma2, Wwp1, Ube2f, Rnf130, Lrrc41"
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES"	0.458259325044405	0.813257573806298	0.0774767547848578	-0.589769307923771	-1.03861137719458	3	"Flnb, Nup155, Stat1"
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION"	0.194675540765391	0.697434971098266	0.12563992130984	-0.520975588012561	-1.26954969986224	8	"Adcy4, Ggt5, Hrh2, Syk, Vipr1, Yes1"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1"	0.0917874396135266	0.643475250951886	0.231126709673834	0.640201005025126	1.44655631717004	5	"Psmd8, Psmb6, Fzr1, Psma2, Anapc16"
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS"	0.0917874396135266	0.643475250951886	0.231126709673834	0.640201005025126	1.44655631717004	5	"Psmd8, Psmb6, Fzr1, Psma2, Anapc16"
"REACTOME_APOPTOSIS"	0.675675675675676	0.949379903821817	0.0791316651768349	0.297597876797576	0.837903808637886	10	"Psmd8, Psmb6, Trp53"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS"	0.36234458259325	0.784263348052991	0.0902635484340068	-0.636855225481603	-1.12153188360983	3	"Lmnb1, Prkcq"
"REACTOME_APOPTOTIC_EXECUTION_PHASE"	0.36234458259325	0.784263348052991	0.0902635484340068	-0.636855225481603	-1.12153188360983	3	"Lmnb1, Prkcq"
"REACTOME_ARACHIDONIC_ACID_METABOLISM"	0.363338788870704	0.784263348052991	0.0855356947987884	-0.46234366675138	-1.08772001911417	7	"Cyp2u1, Ptgs2, Cyp4f18, Ggt5"
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION"	0.53494623655914	0.881254409583735	0.0916795246008379	0.294876115008951	0.939958385480458	14	"St6gal1, B4galt5, Renbp, St6galnac4, Mgat4b, Ubxn1"
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX"	0.104166666666667	0.643475250951886	0.211400189384923	0.682730923694779	1.44522284304185	4	"Psmd8, Psmb6, E2f2, Psma2"
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS"	0.206018518518519	0.709895136099955	0.14641623786055	0.585747782277695	1.23992636898234	4	"Trp53, Arfgef2, Gba"
"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS"	0.0751708428246014	0.643475250951886	0.248911114434702	0.781034085681903	1.43897959778387	3	"Psmd8, Psmb6, Psma2"
"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA"	0.0751708428246014	0.643475250951886	0.248911114434702	0.781034085681903	1.43897959778387	3	"Psmd8, Psmb6, Psma2"
"REACTOME_AURKA_ACTIVATION_BY_TPX2"	0.811594202898551	0.959156785243742	0.0642140881844605	0.31356783919598	0.708517379838387	5	"Haus2, Cdk5rap2, Csnk1d, Plk4, Dynll1"
"REACTOME_AUTOPHAGY"	0.792207792207792	0.958018725460586	0.0689567351672811	0.2530401059025	0.748552686933449	11	"Tomm20, Rragc, Ubap1, Plin2, Tsc1, Plin3, Vcp, Atg12"
"REACTOME_BASE_EXCISION_REPAIR"	0.454706927175844	0.813257573806298	0.0778840111977068	-0.591775325977934	-1.04214406895374	3	"Rpa2, H2bc4, H2az1"
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING"	0.0596001852211708	0.643475250951886	0.321775918075361	0.612955355402702	1.54188583514889	7	"Psmd8, Psmb6, Ago2, Psma2, Clta, Ap2a2"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS"	0.301754385964912	0.776234210594016	0.10027910675413	-0.604193249300851	-1.17096638473688	4	"Apol8, Col4a2"
"REACTOME_BIOLOGICAL_OXIDATIONS"	0.354107648725212	0.781776765375854	0.120985142145252	0.325064229578908	1.06383496381727	16	"Gstm1, Cyp4v3, Hpgds, Abhd10"
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN"	0.371980676328502	0.785751991553892	0.107140237276725	0.470871397453191	1.06395021128382	5	"St6gal1, Renbp, St6galnac4"
"REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS"	0.674955595026643	0.949379903821817	0.0583452776743612	-0.483775046970147	-0.851950518678025	3	"Fut2, St3gal4"
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION"	0.319444444444444	0.776234210594016	0.114266502484433	0.525932941753117	1.11330873547718	4	"F7, Bhlhe41, Ncoa2, Carm1"
"REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION"	0.337962962962963	0.776234210594016	0.110564716336619	0.519177492427461	1.09900862200405	4	"Ercc6, Polr2f"
"REACTOME_CARDIAC_CONDUCTION"	0.228643216080402	0.729200214707461	0.144630528034484	0.518170203590721	1.23858806499493	6	"Wwtr1, Camk2d"
"REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS"	0.57487922705314	0.92109500805153	0.0817515582532145	0.396203817816881	0.895236232138379	5	"Necap2, Clta, Ap2a2, Necap1"
"REACTOME_CD28_CO_STIMULATION"	0.0979899497487437	0.643475250951886	0.227987202850442	0.603624019236283	1.44284928154776	6	"Cd28, Cd86, Grap2, Lck"
"REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING"	0.099537037037037	0.643475250951886	0.216542836735348	0.690815906174378	1.46233734739427	4	"Cd28, Cd86"
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY"	0.099537037037037	0.643475250951886	0.216542836735348	0.690815906174378	1.46233734739427	4	"Cd28, Cd86"
"REACTOME_CDC42_GTPASE_CYCLE"	0.459234608985025	0.813257573806298	0.0739901439101341	-0.411992519128421	-1.00397214579728	8	"Plekhg2, Spata13"
"REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI"	0.96078431372549	0.985032818299305	0.0802023444698144	0.143573204262674	0.699380377190985	68	"Atp6v0d2, Fnip2, Rps6ka2, Psmd8, Atp6v1a, Psmb6, Trp53, Camk2d, Mapk7, Atp6v1c1, Mapkapk3, Prdx1, Rpl34, Rpl13, Tnfrsf21, Rragc, E2f2, Rpl5, Cdk4, Hmox2, Cox5b, Fzr1, Atp6v1d, Rpl35, Hspa9, Psma2, Limd1, Rpl26, Rps3a1"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	0.874403815580286	0.963175122749591	0.0413209506074822	-0.241771680708166	-0.677493678223714	13	"Prdx2"
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS"	0.748752079866889	0.949379903821817	0.0504983044100709	-0.321344256956307	-0.783074129303532	8	"Hsf1, Rpa2"
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA"	0.176328502415459	0.693922902494331	0.163180127180689	0.586946759457401	1.32622650709876	5	"Psmd8, Psmb6, Psma2, Limd1"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION"	0.0143146794915194	0.643475250951886	0.380730400722792	0.49835682655052	1.73695108715777	20	"Atp6v0d2, Fnip2, Atp6v1a, Atp6v1c1, Rpl34, Rpl13, Rragc, Rpl5, Atp6v1d, Rpl35, Rpl26, Rps3a1, Atp6v1f, Rpl15, Rps5, Fnip1, Atp6v1b2, Wdr59"
"REACTOME_CELLULAR_SENESCENCE"	0.992319508448541	0.995490367775832	0.0338245444462164	-0.147854601511345	-0.462676265453168	20	"Lmnb1, Tnik, Cbx4, Id1, Fos, Ets2, H2bc4, Stat3, Kdm6b, H2az1"
