"level1" "level2" "level3" "level4" "level5" "level6" "level7" "level8" "level9" "level10" "level11" "level12" "level13"
"1" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "CAM_PATHWAY" "CALMODULIN_INDUCED_EVENTS" "PKA_MEDIATED_PHOSPHORYLATION_OF_CREB" ""
"2" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "CAM_PATHWAY" "CALMODULIN_INDUCED_EVENTS" "PKA_MEDIATED_PHOSPHORYLATION_OF_CREB" ""
"3" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "" "" "" ""
"4" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "" "" "" ""
"5" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "" "" "" ""
"6" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "" "" "" ""
"7" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "" "" "" ""
"8" "IN_REACTOME_HIERARCHIE" "SIGNAL_TRANSDUCTION" "SIGNALING_BY_GPCR" "GPCR_DOWNSTREAM_SIGNALLING" "G_ALPHA_I_SIGNALLING_EVENTS" "OPIOID_SIGNALLING" "G_PROTEIN_MEDIATED_EVENTS" "PLC_BETA_MEDIATED_EVENTS" "CA_DEPENDENT_EVENTS" "" "" "" ""
"9" "IN_REACTOME_HIERARCHIE" "CELL_CYCLE" "CELL_CYCLE_MITOTIC" "REGULATION_OF_MITOTIC_CELL_CYCLE" "APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS" "ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS" "APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS" "APC_CDC20_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS_PRIOR_TO_SATISFATION_OF_THE_CELL_CYCLE_CHECKPOINT" "APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A" "" "" "" ""
"10" "IN_REACTOME_HIERARCHIE" "CELL_CYCLE" "CELL_CYCLE_MITOTIC" "M_PHASE" "MITOTIC_METAPHASE_AND_ANAPHASE" "MITOTIC_ANAPHASE" "NUCLEAR_ENVELOPE_NE_REASSEMBLY" "SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III" "" "" "" "" ""
