"gene"	"Old.ECs.D0_2"	"Old.ECs.D0_1"	"Old.ECs.D0_3"	"Old.FAPs.D0_1"	"Old.FAPs.D0_2"	"Old.FAPs.D0_3"	"Old.MuSCs.D0_1"	"Old.MuSCs.D0_3"	"Old.MuSCs.D0_2"
"ENSMUSG00000000001"	702.352034306663	862.974343319863	835.476272714149	870.547968949041	795.376960691432	927.259495534796	734.009273110784	851.568052501136	828.330504321848
"ENSMUSG00000000028"	147.003914157209	171.791167296504	236.52752926154	37.4765044928735	17.6914245195499	15.6985241907697	17.4545384093929	16.8230753551494	11.8671992023187
"ENSMUSG00000000037"	0	0	0	46.0648701058237	30.9599929092124	34.5367532196933	9.18659916283835	3.20439530574275	2.37343984046375
"ENSMUSG00000000049"	0.907431568871658	0	0	2.3422815308046	0	8.37254623507716	0	0	0
"ENSMUSG00000000056"	250.451113008578	329.517560662299	285.168271166131	168.644270217931	193.13138433842	229.198453185237	247.119517480352	227.512066707735	319.227658542374
"ENSMUSG00000000058"	9443.64033724735	9031.59411693314	10253.6591414952	304.496599004597	272.00565198808	249.083250493546	1236.51624731804	1537.30864793008	1383.71542699037
"ENSMUSG00000000078"	7343.84368687833	6557.19853183789	5947.52287288292	2418.79606081088	2689.09652697159	2079.53117113729	2669.62571672082	3058.59531933145	2730.64253645354
"ENSMUSG00000000085"	646.998708605492	629.900946753846	668.571766178788	372.422763397931	363.411345339088	398.74251444555	470.353877137323	507.896655960226	431.966050964402
"ENSMUSG00000000088"	187.838334756433	160.740273493804	191.701747506329	86.6644166397701	70.0285553898851	92.0980085858488	180.976003507915	181.849433600901	175.634548194317
"ENSMUSG00000000093"	156.078229845925	85.3932702935836	88.6978234730775	87.4451771500382	98.7771202341537	121.401920408619	1623.27207207354	1521.28667140137	2030.47778351674
"ENSMUSG00000000094"	0	0	0	132.729286745594	78.1371249613455	97.330849982772	41.3396962327726	30.4417554045561	21.3609585641737
"ENSMUSG00000000120"	0.907431568871658	1.00462670933628	3.81496014937968	97.5950637835248	72.2399834548289	187.335722009852	91.8659916283835	70.4966967263405	70.0164752936806
"ENSMUSG00000000125"	11.7966103953316	4.01850683734511	6.67618026141443	0.780760510268199	11.7942830130333	9.41911451446181	0.918659916283835	0.801098826435687	2.37343984046375
"ENSMUSG00000000126"	4.53715784435829	17.0786540587167	33.3809013070722	263.897052470651	228.51423337752	340.13469080001	42.2583561490564	65.6901037677264	65.2695956127531
"ENSMUSG00000000127"	598.904835455294	663.053628161943	660.941845880029	588.693424742222	631.731283885595	645.732628380326	652.248540561523	714.580153180633	625.401397962198
"ENSMUSG00000000131"	929.209926524578	944.349106776101	840.244972900874	658.181110156091	701.75983927548	672.943403644327	985.722090172555	1099.10758986976	1008.71193219709
"ENSMUSG00000000134"	414.696226974348	541.493796332254	475.916278635115	406.776225849731	506.417026872117	450.024360135398	341.741488857586	329.251617665067	296.679980057969
"ENSMUSG00000000142"	42.6492837369679	45.2082019201325	36.2421214191069	30.4496599004597	36.1199917274144	103.61025965908	118.507129200615	76.905487337826	109.178232661332
"ENSMUSG00000000148"	132.485009055262	143.661619435088	139.246045452358	126.483202663448	115.731402065389	103.61025965908	138.717647358859	155.413172328523	155.460309550376
"ENSMUSG00000000149"	586.200793491091	541.493796332254	639.959565058441	274.827699614406	269.057081234822	341.181259079394	582.430386923951	584.001044471616	696.60459317611
