"gene"	"Old.ECs.D4_1"	"Old.ECs.D4_3"	"Old.ECs.D4_2"	"Old.FAPs.D4_1"	"Old.FAPs.D4_2"	"Old.FAPs.D4_3"	"Old.Inflammatory-Mac.D4_3"	"Old.Inflammatory-Mac.D4_2"	"Old.Inflammatory-Mac.D4_1"	"Old.MuSCs.D4_2"	"Old.MuSCs.D4_1"	"Old.Resolving-Mac.D4_2"	"Old.Resolving-Mac.D4_3"	"Old.Resolving-Mac.D4_1"
"ENSMUSG00000000001"	986.380738037223	892.547427295501	904.853803034005	1537.81522512225	1497.56506360704	1262.1234818649	823.33307372732	1040.26935023183	979.586085923826	1434.01411477086	1330.13452102269	1139.23976020078	1092.65571111497	1284.40311778244
"ENSMUSG00000000028"	219.434755244922	198.01219401539	149.011677206033	70.5513633865924	101.361404437902	93.9570051733654	26.5591314105587	43.3445562596594	57.0723507558294	290.025326582871	341.03371530481	82.1073701045607	41.9424928479173	84.408605978927
"ENSMUSG00000000037"	0	0	3.92135992647456	101.22586920685	86.455315549975	60.0549929974088	7.86937226979517	1.05718429901608	0	63.2106481013949	84.4856938217354	0	10.7544853456198	10.4423017705889
"ENSMUSG00000000049"	0	0	0	0	1.98747851839023	4.84314459656523	0	2.11436859803217	0	0	0	0	0	0
"ENSMUSG00000000056"	202.224186206105	230.848386992816	211.753436029626	305.722574675234	259.365946649925	256.686663617957	492.819438395923	396.444112131031	293.7822645464	214.420433755712	194.729221125707	358.193402081146	278.541170451554	294.995025019137
"ENSMUSG00000000058"	4733.98214623971	4916.47362125649	4898.75888814835	153.372529101288	177.879327395926	161.761029525279	283.297401712626	385.87226914087	285.361753779147	470.981299579021	508.974789608991	636.332118310346	425.877619686545	536.038157556897
"ENSMUSG00000000078"	3578.7226995091	3473.67120255139	3088.07094209872	2891.58341532295	2688.06469612279	3417.32282733642	7414.9160212145	6392.79345615025	6608.22972767907	3079.96981435228	2747.84567588498	5512.48356039495	5097.6260538238	5595.33336540722
"ENSMUSG00000000085"	441.020831619696	429.855617159037	454.877751471049	303.67760762055	367.683525902193	358.392700145827	189.848606008809	200.865016813056	124.436436893858	373.066766245487	331.760895251205	330.482164670857	279.616618986116	235.821981652466
"ENSMUSG00000000088"	189.316259426992	187.066796356248	146.070657261177	134.967825609133	175.891848877535	135.608048703826	266.574985639312	272.753549146149	287.232978394092	402.81295358732	565.642023269912	303.797269386875	428.028516755669	477.735306004442
"ENSMUSG00000000093"	30.1184958179305	42.7865544857375	27.4495194853219	77.7087480779858	147.073410360877	105.580552205122	0.983671533724397	8.45747439212866	0.935612307472613	158.646332489775	116.425407339709	6.15805275784206	11.8299338801818	5.22115088529445
