"day_celltype" | "inputsize" | "maxpadj" | "minabslfc"
"|   D0_ECs" | 1000 | "0.833204755812667" | "0.00431642344880973  |"
"|   D0_FAPs" | 1000 | "0.211068949639519" | "0.0218738426298392  |"
"|   D0_sCs" | 1000 | "0.200496565670897" | "0.0328251937026974  |"
"|   D2_ECs" | 1000 | "0.99907937632229" | "5.86061346118547e-07  |"
"|   D2_FAPs" | 1000 | "0.445153360596376" | "0.00860019026213538  |"
"|   D2_M1" | 1000 | "0.999797985224188" | "3.27646804795741e-09  |"
"|   D2_M2" | 1000 | "0.656706752930478" | "0.0138428791183234  |"
"|   D2_Neutro" | 1000 | "0.445119625266764" | "0.0322225565883877  |"
"|   D2_sCs" | 1000 | "0.0141307968995322" | "0.405389381381288  |"
"|   D4_ECs" | 1000 | "0.308373315453155" | "0.0176139001908065  |"
"|   D4_FAPs" | 1000 | "0.393112574721973" | "0.014523666546943  |"
"|   D4_M1" | 1000 | "0.913181448464194" | "1.07783951528171e-05  |"
"|   D4_M2" | 1000 | "0.83325821418217" | "0.00177164842691496  |"
"|   D4_sCs" | 1000 | "0.034332816186047" | "0.176309694233418  |"
"|   D7_ECs" | 1000 | "0.18952286163962" | "0.0214819598200951  |"
"|   D7_FAPs" | 1000 | "0.308291979666569" | "0.0140952915537856  |"
"|   D7_M2" | 1000 | "0.712679100846678" | "0.00874214071918688  |"
"|   D7_sCs" | 1000 | "0.202909455037087" | "0.0284891378559077  |"
