"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"	"gene_symbols"
"HALLMARK_ADIPOGENESIS"	0.466623964862515	0.87796654130463	0.368847904315512	0.979200505095151	20397	6	"Gpx3, Angpt1, Col15a1, Lama4"
"HALLMARK_COMPLEMENT"	0.840141788786582	0.974077436274298	0.346938775510204	0.695482445863086	38869	3	"Dock9, Calm1, Col4a2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	0.0501182276138583	0.87796654130463	0.385542168674699	1.55517267099811	1949	18	"Col6a3, Thy1, Col5a3, Htra1, Fstl1, Sparc, Serpinh1, Col3a1, Eln, Lamc1, Fmod, Pdgfrb, Col5a1, Anpep, Loxl2, Col4a2, Col6a2, Col4a1"
"HALLMARK_MYOGENESIS"	0.310837087977235	0.87796654130463	0.358695652173913	1.12188527500478	13107	9	"Gpx3, Col6a3, Col15a1, Igf1, Sparc, Col3a1"
"HALLMARK_UV_RESPONSE_DN"	0.56241264770479	0.87796654130463	-0.422680412371134	-0.92014825100889	30984	4	"Map1b, Pdgfrb, Lamc1, Col3a1"
"HALLMARK_UV_RESPONSE_UP"	0.0194959581550166	0.87796654130463	0.82333928747507	1.65048723823461	901	3	"Ptprd, Gpx3, Ret"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM"	0.711259919717346	0.917754735119156	-0.418367346938776	-0.81924735018073	38449	3	"Cul1, Calm1, Col3a1"
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES"	0.292039860727578	0.87796654130463	0.351648351648352	1.14463394950173	12161	10	"Col6a3, Col15a1, Col5a3, Col6a1, Col3a1, Col5a1, Loxl2, Col4a2, Col6a2, Col4a1"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS"	0.59491561480641	0.87796654130463	-0.357894736842105	-0.900037234118016	33557	6	"Apoe, Col4a1, Col4a2, Hsp90b1, Col3a1, Sparc"
"REACTOME_CARDIAC_CONDUCTION"	0.386744112913668	0.87796654130463	-0.549187570971699	-1.07541964152522	20906	3	"Ryr3"
"REACTOME_CIRCADIAN_CLOCK"	0.992197293909134	0.992197293909134	0.216724683259957	0.434451907460844	45904	3	"Crtc1, Mef2c"
