"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"gene_symbols"
"REACTOME_INTERFERON_GAMMA_SIGNALING"	1.42948146373694e-05	0.0117756217924882	0.593325476396405	0.833136895980123	1.82477850397359	89	"H2-Q7, H2-K1, H2-Q4, H2-T22, H2-Eb1, H2-Ab1, B2m, H2-D1, Socs1, Oas2, Irf8, Ncam1, Ptpn2, Trim30d, Trim34a, H2-M3, Trim30a, Irf1, Irf7, Vcam1, Stat1, H2-T23, Gbp10, Ciita, Gbp4, Irf4, Gbp2, Irf6, Camk2g, H2-Q1, Gbp5"
"REACTOME_INTERFERON_SIGNALING"	1.48870060587715e-05	0.0117756217924882	0.593325476396405	0.745104295192633	1.7725933929595	178	"H2-Q7, H2-K1, H2-Q4, H2-T22, H2-Eb1, H2-Ab1, B2m, Ifit3, Ifit2, H2-D1, Socs1, Psmb8, Oas2, Irf8, Herc6, Ncam1, Nup153, Ptpn2, Trim30d, Trim34a, H2-M3, Trim30a, Irf1, Irf7, Vcam1, Stat1, H2-T23, Gbp10, Ciita, Samhd1, Isg20, Eif4a2, Gbp4, Eif4a1, Nup98, Irf4, Gbp2, Usp18, Nup133, Nup54, Irf6, Camk2g, Kpna4, Nup93, H2-Q1, Eif4e, Gbp5, Stat2, Rsad2, Gbp9"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING"	9.34950707775908e-05	0.0493030673233829	0.538434096309916	0.851878102847949	1.77481236325886	60	"H2-Q7, H2-K1, H2-Q4, H2-T22, Ifit3, Ifit2, H2-D1, Socs1, Psmb8, Oas2, Irf8, H2-M3, Irf1, Irf7, Stat1, H2-T23, Samhd1, Isg20, Irf4, Gbp2, Usp18, Irf6, H2-Q1, Stat2, Rsad2"
"REACTOME_MUSCLE_CONTRACTION"	0.000219904033468544	0.0695776361894472	0.518848077743792	0.729511628395673	1.71545277873708	156	"Abcc9, Gucy1a1, Atp1a2, Gucy1b1, Itpr3, Gucy1a2, Cacna1c, Actn3, Mylk, Atp2a3, Des, Mybpc1, Tpm2, Dmd, Casq2, Trpc1, Asph, Lmod1, Scn4b, Ttn, Tnni2, Scn2b, Scn7a, Neb, Ryr1, Pak1, Acta2, Fxyd6, Acta1, Atp1b2, Nos1, Myh11, Atp2a2, Myh8, Cacnb2, Myl9, Tmod2, Myh3"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	0.000208484154288542	0.0695776361894472	0.518848077743792	0.573477812012225	1.50849232811535	598	"H2-Q7, Cdkn1a, H2-K1, H2-Q4, H2-T22, H2-Eb1, Tnf, H2-Ab1, B2m, Psmb9, Ifit3, Ifit2, Hsp90aa1, H2-D1, Socs1, Cxcl10, Ptprj, Il6, Jun, Socs5, Ptpn13, Psmb8, Lifr, Oas2, Irf8, Herc6, Ncam1, Nup153, Nos2, Tnfsf9, Ptpn2, Mtap, Trim30d, Casp1, Trim34a, Cebpd, Eda2r, H2-M3, Trim30a, Il4ra, Irf1, Irs1, App, Irf7, Vcam1, Psmb10, Hnrnpdl, Rora, Bcl2, Csf2rb2, Stat1, H2-T23, Gbp10, Csf1r, Stx3, Edar, Map3k8, Ptprz1, Csf1, Ciita, Mcl1, Birc3, Psmd14, Samhd1, Psmb4, Irs2, Isg20, Hspa9, Eif4a2, Gbp4, Junb, Mmp3, Eif4a1, Nup98, Sqstm1, Irf4, Gbp2, Mapkapk3, Relb, Usp18, Hnrnpf, Nup133, Nup54, Irf6, Crlf2, Cul1, Camk2g, Kpna4, Il1b, Nup93, Myc, Cish, Psme2, Bcl2l1, H2-Q1, Eif4e, Psme1, Csf3r, Gbp5, Map2k1, Nfkbib, Stat2, Eda, Rsad2, Ube2d3, Il33, Gbp9, Vamp2, Il7"
"REACTOME_COMPLEMENT_CASCADE"	0.000362469305230211	0.0955710734790322	0.49849310876659	0.891721639967736	1.76059498529423	33	"Serping1, Clu, Vtn, C1qc, C4b, C1qb, Cfh, C3, C3ar1, Masp1"
"REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS"	0.000626454005572977	0.141578605259493	0.477270815362862	0.916307169249614	1.72814159034847	23	"H2-Q7, B2m, H2-D1, Atp6v1h"
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION"	0.000915243307363327	0.180989364031098	0.477270815362862	0.956278726347222	1.64729784755881	13	"H2-Q7, B2m, H2-D1"
"REACTOME_COLLAGEN_FORMATION"	0.00132962852051748	0.182847056113146	0.45505986738723	-0.755523505998431	-1.79744596241304	80	"Col15a1, Col4a1, Col4a2, Pxdn, Col18a1, Col12a1, Col28a1, Plod1, Serpinh1, Plec, Itgb4, Bmp1, Col9a2"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES"	0.0014546678267327	0.182847056113146	0.45505986738723	-0.773439288055578	-1.78138285458252	63	"Col15a1, Col4a1, Col4a2, Col18a1, Col12a1, Col28a1, Plod1, Serpinh1, Bmp1, Col9a2, P3h1, Col11a2"
