"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"type"	"contrast"	"ensemblid"
9.6720998803301	1.8321588437676	31.3227986505058	0.000113832589783116	0.000715973658099038	"ECs"	"D2vsD0"	"ENSMUSG00000029371"
9.47510407279079	1.74577871287409	14.286472875804	0.00201117534314655	0.00752902900443325	"ECs"	"D2vsD0"	"ENSMUSG00000025044"
9.41019187330192	2.90472913618327	91.2951991650941	1.55771261748718e-07	3.67223563687682e-06	"ECs"	"D2vsD0"	"ENSMUSG00000046179"
9.18192575210198	1.75251552088052	49.6154042629107	1.30051519648106e-05	0.000121940502252063	"ECs"	"D2vsD0"	"ENSMUSG00000027832"
9.06403014209223	2.52136211501529	32.6981933964613	5.19354375534317e-05	0.000378554600614396	"ECs"	"D2vsD0"	"ENSMUSG00000046318"
8.94502971711232	1.27678956001641	25.3453784088957	0.000179288849977847	0.001043409246743	"ECs"	"D2vsD0"	"ENSMUSG00000053398"
8.67574755342965	1.45917809059771	15.239399463953	0.00157367121794523	0.00614260376013479	"ECs"	"D2vsD0"	"ENSMUSG00000030268"
-8.61772871688027	1.68261928083089	60.1345050258161	1.89215297837767e-06	2.49535374646141e-05	"ECs"	"D2vsD0"	"ENSMUSG00000056328"
8.53496773741245	1.91648448675329	40.3265959099069	1.74901834500576e-05	0.000155654947125842	"ECs"	"D2vsD0"	"ENSMUSG00000044201"
8.15644456120852	1.75668479387432	66.2781911060529	1.07263814842173e-06	1.58569249532584e-05	"ECs"	"D2vsD0"	"ENSMUSG00000034773"
8.13522654887737	0.97673115455152	36.0529395381987	3.15127628212104e-05	0.000254349320523291	"ECs"	"D2vsD0"	"ENSMUSG00000048007"
7.97895797284832	5.33064408264255	754.07279572274	6.09716330585978e-15	4.28391764460107e-11	"ECs"	"D2vsD0"	"ENSMUSG00000004791"
-7.77424080690846	0.0358050644270703	26.3010638264866	0.000433774927781883	0.00216307673273435	"ECs"	"D2vsD0"	"ENSMUSG00000010803"
7.59677556599578	3.42914895552289	58.5632059915147	9.49837693737267e-07	1.45576745774197e-05	"ECs"	"D2vsD0"	"ENSMUSG00000027996"
7.58127120229856	0.60661331932937	18.7014463505281	0.000690596563554195	0.00314002164256184	"ECs"	"D2vsD0"	"ENSMUSG00000027656"
-7.54943827067218	0.346636473611011	26.9079263116153	0.000135181903334593	0.000826054358696169	"ECs"	"D2vsD0"	"ENSMUSG00000031097"
-7.50006316154114	0.0362770128683977	20.6126781318459	0.000455746387554157	0.00224699425044044	"ECs"	"D2vsD0"	"ENSMUSG00000072584"
-7.34286925309819	0.112118921729438	26.5586081390688	0.000143848479977843	0.000870768531445721	"ECs"	"D2vsD0"	"ENSMUSG00000043122"
-7.27702052366634	1.16081163053792	39.6410725078127	1.03979057169067e-05	0.00010034793012157	"ECs"	"D2vsD0"	"ENSMUSG00000007653"
7.25726044665967	0.294242707864004	20.6798176245219	0.000449341050037412	0.0022219421229091	"ECs"	"D2vsD0"	"ENSMUSG00000034883"
7.18524063783227	0.868908522814487	31.6424175531433	6.12477082916471e-05	0.000431350601316781	"ECs"	"D2vsD0"	"ENSMUSG00000045031"
7.17363608856524	1.74397704191871	32.538351688701	5.32352959587055e-05	0.000385649867555732	"ECs"	"D2vsD0"	"ENSMUSG00000032323"
7.12609356262426	0.872146450495876	25.6621973733449	0.000169153949504296	0.000994647674044961	"ECs"	"D2vsD0"	"ENSMUSG00000040828"
7.09412165150651	0.517649107793421	23.2048346461308	0.000269203906458178	0.00146619430728298	"ECs"	"D2vsD0"	"ENSMUSG00000028965"
7.07625340468169	-0.0740750606211856	18.1159031052831	0.000788459103863738	0.00351177653643614	"ECs"	"D2vsD0"	"ENSMUSG00000016526"
7.05203377557742	0.125517745437191	16.8611878847812	0.00105677930627089	0.00445891673363165	"ECs"	"D2vsD0"	"ENSMUSG00000050737"
7.02080933262188	0.483091203687307	22.4249978682979	0.000314091245949316	0.00166400283775167	"ECs"	"D2vsD0"	"ENSMUSG00000013611"
6.99701602168761	0.0983452285071977	8.89579568273843	0.00983457978887648	0.0276088787459212	"ECs"	"D2vsD0"	"ENSMUSG00000022014"
6.92811277205599	1.04879717507528	10.9021123716877	0.0052071967198821	0.0163904147197532	"ECs"	"D2vsD0"	"ENSMUSG00000022464"
6.9134116030362	0.0324314174154323	10.5352250395305	0.00582298611858608	0.0179892077147951	"ECs"	"D2vsD0"	"ENSMUSG00000002668"
6.8939696509939	0.668942674113686	21.8567242985167	0.000352223222223315	0.00182309916811243	"ECs"	"D2vsD0"	"ENSMUSG00000076436"
6.85205434300692	0.854532892191734	34.1644318757942	4.15639420944474e-05	0.000315108025172717	"ECs"	"D2vsD0"	"ENSMUSG00000034690"
6.84361540249279	2.67136857986133	126.892897453241	4.83718971865758e-09	3.13136249504148e-07	"ECs"	"D2vsD0"	"ENSMUSG00000031562"
6.84335076559882	3.75934622140261	179.660066477068	3.81210017280518e-10	5.86230324544886e-08	"ECs"	"D2vsD0"	"ENSMUSG00000029762"
6.82673546885658	0.271287720058414	16.5608315449654	0.00113568886147028	0.00472865732390969	"ECs"	"D2vsD0"	"ENSMUSG00000059336"
6.81313241829662	-0.159213444393073	11.6160511355022	0.00421141266163031	0.0137696488247078	"ECs"	"D2vsD0"	"ENSMUSG00000028348"
6.79504978037947	0.496093157364206	20.2185707806986	0.000495522388767339	0.00240007547166196	"ECs"	"D2vsD0"	"ENSMUSG00000020279"
6.77887646030363	0.253446862086345	15.143229551779	0.00161247436212187	0.00624250383173176	"ECs"	"D2vsD0"	"ENSMUSG00000000037"
6.76850386997373	0.0930252632591318	10.9075817386523	0.00519860137410698	0.0163742660921384	"ECs"	"D2vsD0"	"ENSMUSG00000039217"
6.74039731489255	0.161891487808426	11.331879951881	0.00555887855717338	0.017312878142585	"ECs"	"D2vsD0"	"ENSMUSG00000026069"
6.7117986024996	1.43934162675832	19.7459684968588	0.000548568321710871	0.00260464090415666	"ECs"	"D2vsD0"	"ENSMUSG00000027408"
6.70151913953759	0.640927279971358	20.3974685838079	0.000476993806265064	0.0023302347317091	"ECs"	"D2vsD0"	"ENSMUSG00000049036"
