symbol	cellty	varianceORspecs	criterionselection
Agt	sCs	0.0328307744927258	variancebased
Icam1	ECs	0.0928226591761462	variancebased
Icam1	Neutro	0.6652157965493198	SPECBASED
Lipc	ECs	0.04412647121811436	variancebased
Lipc	Neutro	0.4820002157798747	SPECBASED
Lpl	FAPs	0.05132126961318391	variancebased
Snca	sCs	0.047029163789230145	variancebased
Vwf	ECs	0.04911745165712177	variancebased
Vwf	Neutro	0.5175822812827338	SPECBASED
Il10	ECs	0.15390517697822234	variancebased
Il10	Neutro	0.6397464683888626	SPECBASED
Il1b	ECs	0.22228920687757686	variancebased
Il1b	M2	0.09570027917836023	variancebased
Il1b	Neutro	0.8739048628065621	SPECBASED
Il15	ECs	0.04208414585464731	variancebased
Cd14	ECs	0.1611860466430342	variancebased
Cd14	Neutro	0.4279015329673814	SPECBASED
Tnf	ECs	0.20887361502319265	variancebased
Tnf	M1	0.03134791100550409	variancebased
Tnf	M2	0.04378864535696549	variancebased
Tnf	Neutro	0.8709190451149539	SPECBASED
Lta	Neutro	0.8483155728012935	SPECBASED
Hgf	FAPs	0.0366081880427348	variancebased
Cd44	ECs	0.08143186647170307	variancebased
Cd44	Neutro	0.5223256404173379	SPECBASED
Igf2	FAPs	0.0867559523564505	variancebased
Igf2	sCs	0.08580850756101639	variancebased
Igf1	FAPs	0.05984090788966464	variancebased
Vtn	sCs	0.036068206129429556	variancebased
Tgfb1	ECs	0.07375339182665738	variancebased
Cck	FAPs	0.03426075628612933	variancebased
Cck	sCs	0.04639736165112522	variancebased
Epo	FAPs	0.04533423430099964	variancebased
Fgf1	FAPs	0.034844868788910986	variancebased
Fgf1	sCs	0.031119736476893162	variancebased
Il12a	FAPs	0.7294727004767241	SPECBASED
Vcam1	sCs	0.03932978044753986	variancebased
Bmp2	ECs	0.0495141679248366	variancebased
Ctf1	FAPs	0.06184947229405204	variancebased
Ctf1	sCs	0.062235937813636975	variancebased
Efnb3	FAPs	0.05856943068716805	variancebased
Efnb3	sCs	0.07477834423999062	variancebased
Hcrt	ECs	0.7035570741208415	SPECBASED
Il18	FAPs	0.04698728930200569	variancebased
Cxcl10	ECs	0.07147920345677053	variancebased
Cxcl10	FAPs	0.0391801624657822	variancebased
