symbol	cellty	varianceORexpression	criterionselection
Serping1	FAPs	129063.94066214516	variancebased
Serping1	sCs	1157.037137568552	variancebased
Col1a2	ECs	645.3944050046287	variancebased
Col1a2	FAPs	1037293.0138896308	variancebased
Col1a2	sCs	3402.0093130520872	variancebased
Icam1	ECs	2725.872259121266	variancebased
Icam1	Neutro	266.7063343333334	EXPBASED
Lpl	FAPs	3404.373497126492	variancebased
Lpl	M1	5919.534064558405	variancebased
Lpl	M2	1051.5741488310248	variancebased
Myoc	FAPs	20288.910628739002	variancebased
Il1b	ECs	664932.2658673172	variancebased
Il1b	M1	3464.162065741599	variancebased
Il1b	M2	3111.012258496196	variancebased
Il1b	Neutro	4022.5274253333337	EXPBASED
Cd14	ECs	1960.0009606835615	variancebased
Cd14	M2	362.0470853169298	variancebased
Cd14	Neutro	210.09978733333332	EXPBASED
Tnf	ECs	30969.192654066755	variancebased
Tnf	Neutro	914.2618206666666	EXPBASED
Il6	FAPs	463.2966849388367	variancebased
Cd44	ECs	13749.179598248687	variancebased
Cd44	FAPs	2374.613091209102	variancebased
Cd44	M2	3397.8183087024627	variancebased
Cd44	Neutro	665.7853396666667	EXPBASED
Igf2	FAPs	63956.01747272505	variancebased
Igf2	sCs	5851.879764063169	variancebased
Igf1	FAPs	6064.134689574879	variancebased
Tgfb1	ECs	713.1453615052634	variancebased
Tgfb1	M1	713.0444589655913	variancebased
Anxa1	FAPs	1638.80921244728	variancebased
Anxa1	M1	3494.530573438323	variancebased
Anxa1	M2	541.7046363497236	variancebased
Gas6	FAPs	539.3271911920965	variancebased
Kitl	ECs	423.5037675594635	variancebased
Vcam1	FAPs	405.69777014060304	variancebased
Igfbp4	FAPs	4837.71884453529	variancebased
Cxcl10	FAPs	2220.946897944551	variancebased
Cxcl10	M1	1699.770673218383	variancebased
Cxcl10	M2	409.6011290115974	variancebased
Apod	FAPs	35995.61506121524	variancebased
Bgn	ECs	3221.8582033620273	variancebased
Bgn	FAPs	772345.2119959821	variancebased
Bgn	sCs	3147.2804754264407	variancebased
Bsg	FAPs	583.7867201160303	variancebased
Cd34	ECs	3090.939522894812	variancebased
Cd34	FAPs	9009.14858110906	variancebased
Col4a2	ECs	2223.2254736007217	variancebased
Col4a2	FAPs	3611.0195023111596	variancebased
Col4a2	sCs	546.8736859417488	variancebased
Fn1	FAPs	301051.2257725474	variancebased
Fn1	M1	4682.1071664883475	variancebased
Fn1	M2	8459.342128891636	variancebased
Fn1	sCs	571.5726655088071	variancebased
Grn	ECs	336.6090793318851	variancebased
Grn	FAPs	802.1937422886672	variancebased
Grn	M1	3501.750806901655	variancebased
Grn	M2	2436.820603010841	variancebased
Lamb1	ECs	457.26644761696804	variancebased
Lamb1	FAPs	2999.7777046766455	variancebased
Lamb2	FAPs	1050.219486631834	variancebased
Mdk	FAPs	1215.280585814995	variancebased
Nid1	ECs	326.8559107463393	variancebased
Nid1	FAPs	25905.608086639768	variancebased
Serpinf1	FAPs	14305.408324137856	variancebased
Ptn	FAPs	10276.254391011975	variancebased
Ptprc	ECs	13401.769792724424	variancebased
Ptprc	M1	8115.852788928781	variancebased
Ptprc	M2	3654.4906998817028	variancebased
Ptprc	Neutro	568.7975463333332	EXPBASED
Rarres2	FAPs	413.4356225416505	variancebased
S100a8	ECs	627483.8869452239	variancebased
S100a8	M2	618.0499093473691	variancebased
S100a8	Neutro	3774.221028666667	EXPBASED
S100a9	ECs	2012.2153666666668	EXPBASED
S100a9	M2	912.9208541234979	variancebased
S100a9	Neutro	4627.449869666667	EXPBASED
Ccl2	FAPs	21399.057354949087	variancebased
Ccl2	M1	2539.694358941316	variancebased
Ccl2	M2	4723.235497279577	variancebased
