"level1" "level2" "level3" "level4" "level5" "level6" "level7" "level8" "level9" "level10" "level11" "level12" "level13" "value"
"1" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA I SIGNALLING EVENTS" "OPIOID SIGNALLING" "G PROTEIN MEDIATED EVENTS" "plc beta mediated events" "CA DEPENDENT EVENTS" "cam pathway" "calmodulin induced events" "PKA MEDIATED PHOSPHORYLATION OF CREB" "" 18
"2" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA I SIGNALLING EVENTS" "OPIOID SIGNALLING" "G PROTEIN MEDIATED EVENTS" "plc beta mediated events" "CA DEPENDENT EVENTS" "" "" "" "" 34
"3" "IN REACTOME HIERARCHIE" "" "" "" "" "" "" "" "" "" "" "" "" -Inf
"4" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "" "" "" "" "" "" "" "" "" "" 415
"5" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "regulation of mitotic cell cycle" "APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS" "activation of apc c and apc c cdc20 mediated degradation of mitotic proteins" "apc c cdc20 mediated degradation of mitotic proteins" "apc cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint" "APC CDC20 MEDIATED DEGRADATION OF NEK2A" "" "" "" "" 26
"6" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "DNA STRAND ELONGATION" "LAGGING STRAND SYNTHESIS" "PROCESSIVE SYNTHESIS ON THE LAGGING STRAND" "" "" "" "" "" 15
"7" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "regulation of mitotic cell cycle" "APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS" "" "" "" "" "" "" "" "" 84
"8" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC METAPHASE AND ANAPHASE" "mitotic anaphase" "NUCLEAR ENVELOPE NE REASSEMBLY" "" "" "" "" "" "" 65
"9" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC METAPHASE AND ANAPHASE" "mitotic anaphase" "NUCLEAR ENVELOPE NE REASSEMBLY" "POSTMITOTIC NUCLEAR PORE COMPLEX NPC REFORMATION" "" "" "" "" "" 26
"10" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "DNA STRAND ELONGATION" "leading strand synthesis" "POLYMERASE SWITCHING" "" "" "" "" "" 14
