"level1" "level2" "level3" "level4" "level5" "level6" "level7" "level8" "level9" "level10" "level11" "level12" "level13"
"1" "<b>IN REACTOME HIERARCHIE</b>" "<b>AUTOPHAGY</b>" "MACROAUTOPHAGY" "<b>SELECTIVE AUTOPHAGY</b>" "<b>AGGREPHAGY</b>" "" "" "" "" "" "" "" ""
"2" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE CHECKPOINTS</b>" "<b>G1 S DNA DAMAGE CHECKPOINTS</b>" "P53 DEPENDENT G1 S DNA DAMAGE CHECKPOINT" "P53 DEPENDENT G1 DNA DAMAGE RESPONSE" "<b>STABILIZATION OF P53</b>" "" "" "" "" "" ""
"3" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE CHECKPOINTS</b>" "<b>G2 M CHECKPOINTS</b>" "<b>ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS</b>" "" "" "" "" "" "" "" ""
"4" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE CHECKPOINTS</b>" "<b>G2 M CHECKPOINTS</b>" "<b>G2 M DNA DAMAGE CHECKPOINT</b>" "" "" "" "" "" "" "" ""
"5" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE CHECKPOINTS</b>" "<b>G2 M CHECKPOINTS</b>" "<b>G2 M DNA REPLICATION CHECKPOINT</b>" "" "" "" "" "" "" "" ""
"6" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE CHECKPOINTS</b>" "<b>MITOTIC SPINDLE CHECKPOINT</b>" "" "" "" "" "" "" "" "" ""
"7" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC METAPHASE AND ANAPHASE</b>" "MITOTIC ANAPHASE" "<b>NUCLEAR ENVELOPE NE REASSEMBLY</b>" "<b>INITIATION OF NUCLEAR ENVELOPE NE REFORMATION</b>" "" "" "" "" ""
"8" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC METAPHASE AND ANAPHASE</b>" "MITOTIC ANAPHASE" "<b>NUCLEAR ENVELOPE NE REASSEMBLY</b>" "<b>POSTMITOTIC NUCLEAR PORE COMPLEX NPC REFORMATION</b>" "" "" "" "" ""
"9" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC METAPHASE AND ANAPHASE</b>" "MITOTIC ANAPHASE" "<b>NUCLEAR ENVELOPE NE REASSEMBLY</b>" "<b>SEALING OF THE NUCLEAR ENVELOPE NE BY ESCRT III</b>" "" "" "" "" ""
"10" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC METAPHASE AND ANAPHASE</b>" "MITOTIC ANAPHASE" "<b>SEPARATION OF SISTER CHROMATIDS</b>" "" "" "" "" "" ""
"11" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROMETAPHASE</b>" "<b>CONDENSATION OF PROMETAPHASE CHROMOSOMES</b>" "" "" "" "" "" "" ""
"12" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROMETAPHASE</b>" "<b>RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES</b>" "" "" "" "" "" "" ""
"13" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROMETAPHASE</b>" "<b>RESOLUTION OF SISTER CHROMATID COHESION</b>" "" "" "" "" "" "" ""
"14" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROPHASE</b>" "<b>CONDENSATION OF PROPHASE CHROMOSOMES</b>" "" "" "" "" "" "" ""
"15" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROPHASE</b>" "<b>GOLGI CISTERNAE PERICENTRIOLAR STACK REORGANIZATION</b>" "" "" "" "" "" "" ""
