"Category"	"ID"	"Description"	"FDR"	"geneSymbols"	"genesEnriched"	"query_size"	"Count"	"BgRatio"	"GeneRatio"	"celltype"
"GO:BP"	"GO:0000278"	"mitotic cell cycle"	1.91150990638786e-14	"Ccnd1,Ccna2,Asns,Mastl,Ube2c,Ect2,Anln,Cenpf,Clspn,Cep55,Ranbp1,Bub1b,Inhba,E2f8,Plk1,Kif11,Birc5,Bub1,Ccnb1,Brca1,Mcm3,Stil,Kif4,Nacc2,Wdhd1,Tuba4a,Mad2l1,Ttyh1,Trip13,Kif20b,Kif23,Cdc20,Ndc80,Mybl2,Nek2,Cdca8,Kif22"	"ENSMUSG00000070348,ENSMUSG00000027715,ENSMUSG00000029752,ENSMUSG00000026779,ENSMUSG00000001403,ENSMUSG00000027699,ENSMUSG00000036777,ENSMUSG00000026605,ENSMUSG00000042489,ENSMUSG00000024989,ENSMUSG00000005732,ENSMUSG00000040084,ENSMUSG00000041324,ENSMUSG00000046179,ENSMUSG00000030867,ENSMUSG00000012443,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000017146,ENSMUSG00000041859,ENSMUSG00000028718,ENSMUSG00000034311,ENSMUSG00000026932,ENSMUSG00000037572,ENSMUSG00000026202,ENSMUSG00000029910,ENSMUSG00000030428,ENSMUSG00000021569,ENSMUSG00000024795,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000017861,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677"	173	37	0.0387820816365186	0.213872832369942	"sCs"
"GO:BP"	"GO:1903047"	"mitotic cell cycle process"	3.04439526191138e-13	"Ccnd1,Ccna2,Mastl,Ube2c,Ect2,Anln,Cenpf,Clspn,Cep55,Ranbp1,Bub1b,Inhba,Plk1,Kif11,Birc5,Bub1,Ccnb1,Brca1,Mcm3,Stil,Kif4,Nacc2,Mad2l1,Trip13,Kif20b,Kif23,Cdc20,Ndc80,Mybl2,Nek2,Cdca8,Kif22,Cdc45,Aurkb,Kifc1"	"ENSMUSG00000070348,ENSMUSG00000027715,ENSMUSG00000026779,ENSMUSG00000001403,ENSMUSG00000027699,ENSMUSG00000036777,ENSMUSG00000026605,ENSMUSG00000042489,ENSMUSG00000024989,ENSMUSG00000005732,ENSMUSG00000040084,ENSMUSG00000041324,ENSMUSG00000030867,ENSMUSG00000012443,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000017146,ENSMUSG00000041859,ENSMUSG00000028718,ENSMUSG00000034311,ENSMUSG00000026932,ENSMUSG00000029910,ENSMUSG00000021569,ENSMUSG00000024795,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000017861,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000000028,ENSMUSG00000020897,ENSMUSG00000079553"	205	35	0.0315370773747514	0.170731707317073	"sCs"
"GO:BP"	"GO:0051276"	"chromosome organization"	1.60101501564011e-12	"Ccna2,H3c4,Dek,Ube2c,Hmgb3,Esco2,Hells,H2bc7,Bub1b,H3c6,Plk1,Birc5,Bub1,Ccnb1,Hmgb2,H2ac7,Hr,Brca1,Mcm3,Nap1l5,H3c11,H2bc15,H1f5,Kif4,Gata2,Wdhd1,Mad2l1,H2bc8,Trip13,H3c8,Arid5a,Kif23,Cdc20,Ndc80,Nek2,H2ac8,Cdca8,Kif22,H2ac20,Hmga1,Cdc45,H4c12,Aurkb,Kifc1,Myocd,Phf19,H2ac10,Jade3"	"ENSMUSG00000027715,ENSMUSG00000099583,ENSMUSG00000021377,ENSMUSG00000001403,ENSMUSG00000015217,ENSMUSG00000022034,ENSMUSG00000025001,ENSMUSG00000069268,ENSMUSG00000040084,ENSMUSG00000069273,ENSMUSG00000030867,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000054717,ENSMUSG00000071478,ENSMUSG00000022096,ENSMUSG00000017146,ENSMUSG00000041859,ENSMUSG00000055430,ENSMUSG00000101972,ENSMUSG00000095217,ENSMUSG00000058773,ENSMUSG00000034311,ENSMUSG00000015053,ENSMUSG00000037572,ENSMUSG00000029910,ENSMUSG00000058385,ENSMUSG00000021569,ENSMUSG00000099517,ENSMUSG00000037447,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000026622,ENSMUSG00000069272,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000068855,ENSMUSG00000046711,ENSMUSG00000000028,ENSMUSG00000064288,ENSMUSG00000020897,ENSMUSG00000079553,ENSMUSG00000020542,ENSMUSG00000026873,ENSMUSG00000061991,ENSMUSG00000037315"	231	48	0.0559712093948291	0.207792207792208	"sCs"
"GO:BP"	"GO:0098813"	"nuclear chromosome segregation"	1.00846819306887e-10	"Ube2c,Esco2,Ect2,Cenpf,Bub1b,Knl1,Plk1,Birc5,Bub1,Ccnb1,Kif4,Mad2l1,Trip13,Kif23,Cdc20,Ndc80,Nek2,Cdca8,Kif22,Aurkb,Kifc1"	"ENSMUSG00000001403,ENSMUSG00000022034,ENSMUSG00000027699,ENSMUSG00000026605,ENSMUSG00000040084,ENSMUSG00000027326,ENSMUSG00000030867,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000034311,ENSMUSG00000029910,ENSMUSG00000021569,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000020897,ENSMUSG00000079553"	205	21	0.0127853016384127	0.102439024390244	"sCs"
"GO:BP"	"GO:0000070"	"mitotic sister chromatid segregation"	1.00846819306887e-10	"Ube2c,Bub1b,Plk1,Birc5,Bub1,Ccnb1,Kif4,Mad2l1,Trip13,Kif23,Cdc20,Ndc80,Nek2,Cdca8,Kif22,Aurkb,Kifc1"	"ENSMUSG00000001403,ENSMUSG00000040084,ENSMUSG00000030867,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000034311,ENSMUSG00000029910,ENSMUSG00000021569,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000020897,ENSMUSG00000079553"	205	17	0.00743441613789185	0.0829268292682927	"sCs"
"GO:BP"	"GO:0140014"	"mitotic nuclear division"	1.00846819306887e-10	"Ube2c,Ranbp1,Bub1b,Plk1,Kif11,Birc5,Bub1,Ccnb1,Kif4,Mad2l1,Trip13,Kif20b,Kif23,Cdc20,Ndc80,Mybl2,Nek2,Cdca8,Kif22,Aurkb,Kifc1"	"ENSMUSG00000001403,ENSMUSG00000005732,ENSMUSG00000040084,ENSMUSG00000030867,ENSMUSG00000012443,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000034311,ENSMUSG00000029910,ENSMUSG00000021569,ENSMUSG00000024795,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000017861,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000020897,ENSMUSG00000079553"	205	21	0.0127853016384127	0.102439024390244	"sCs"
"GO:BP"	"GO:0000819"	"sister chromatid segregation"	1.11972183487273e-10	"Ube2c,Esco2,Bub1b,Plk1,Birc5,Bub1,Ccnb1,Kif4,Mad2l1,Trip13,Kif23,Cdc20,Ndc80,Nek2,Cdca8,Kif22,Aurkb,Kifc1"	"ENSMUSG00000001403,ENSMUSG00000022034,ENSMUSG00000040084,ENSMUSG00000030867,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000034311,ENSMUSG00000029910,ENSMUSG00000021569,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000020897,ENSMUSG00000079553"	205	18	0.00876029927076428	0.0878048780487805	"sCs"
"GO:BP"	"GO:0051301"	"cell division"	1.49598000531016e-10	"Ccnd1,Ccna2,Hmcn1,Mastl,Ube2c,Mis18bp1,Ect2,Anln,Hells,Cep55,Bub1b,Knl1,E2f8,Plk1,Kif11,Birc5,Ccnb1,Kif4,Pdgfc,Mad2l1,Kif20b,Kif23,Cdc20,Ndc80,Nek2,Cdca8,Cdca3,Aurkb,Kifc1"	"ENSMUSG00000070348,ENSMUSG00000027715,ENSMUSG00000066842,ENSMUSG00000026779,ENSMUSG00000001403,ENSMUSG00000047534,ENSMUSG00000027699,ENSMUSG00000036777,ENSMUSG00000025001,ENSMUSG00000024989,ENSMUSG00000040084,ENSMUSG00000027326,ENSMUSG00000046179,ENSMUSG00000030867,ENSMUSG00000012443,ENSMUSG00000017716,ENSMUSG00000041431,ENSMUSG00000034311,ENSMUSG00000028019,ENSMUSG00000029910,ENSMUSG00000024795,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000023505,ENSMUSG00000020897,ENSMUSG00000079553"	205	29	0.0273700161000095	0.141463414634146	"sCs"
"GO:BP"	"GO:0007059"	"chromosome segregation"	4.30286300408645e-10	"Ube2c,Esco2,Ect2,Cenpf,Bub1b,Knl1,Plk1,Birc5,Bub1,Ccnb1,Brca1,Kif4,Mad2l1,Trip13,Kif23,Cdc20,Ndc80,Nek2,Cdca8,Kif22,Aurkb,Kifc1"	"ENSMUSG00000001403,ENSMUSG00000022034,ENSMUSG00000027699,ENSMUSG00000026605,ENSMUSG00000040084,ENSMUSG00000027326,ENSMUSG00000030867,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000017146,ENSMUSG00000034311,ENSMUSG00000029910,ENSMUSG00000021569,ENSMUSG00000032254,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000020897,ENSMUSG00000079553"	205	22	0.0155791268112511	0.107317073170732	"sCs"
"GO:BP"	"GO:0000280"	"nuclear division"	8.34376966070088e-09	"Mastl,Ube2c,Ranbp1,Bub1b,Plk1,Kif11,Birc5,Bub1,Ccnb1,Kif4,Mad2l1,Trip13,Kif20b,Kif23,Rad51ap1,Cdc20,Ndc80,Mybl2,Nek2,Cdca8,Kif22,Aurkb,Kifc1"	"ENSMUSG00000026779,ENSMUSG00000001403,ENSMUSG00000005732,ENSMUSG00000040084,ENSMUSG00000030867,ENSMUSG00000012443,ENSMUSG00000017716,ENSMUSG00000027379,ENSMUSG00000041431,ENSMUSG00000034311,ENSMUSG00000029910,ENSMUSG00000021569,ENSMUSG00000024795,ENSMUSG00000032254,ENSMUSG00000030346,ENSMUSG00000006398,ENSMUSG00000024056,ENSMUSG00000017861,ENSMUSG00000026622,ENSMUSG00000028873,ENSMUSG00000030677,ENSMUSG00000020897,ENSMUSG00000079553"	205	23	0.0201723648072734	0.11219512195122	"sCs"
