"Category"	"ID"	"Description"	"FDR"	"geneSymbols"	"genesEnriched"	"query_size"	"Count"	"BgRatio"	"GeneRatio"	"celltype"
"CORUM"	"CORUM:1637"	"Ccnd1-Cdk4 complex"	0.011173164930242	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.00186393289841566	0.333333333333333	"M2"
"CORUM"	"CORUM:5435"	"Ccnd1-Cdk4 complex"	0.011173164930242	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.00186393289841566	0.333333333333333	"M2"
"CORUM"	"CORUM:5436"	"Cyclin D1-associated protein complex"	0.0148697593219406	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.00372786579683131	0.333333333333333	"M2"
"GO:BP"	"GO:1905828"	"regulation of prostaglandin catabolic process"	0.0169178310594603	"Hpgd"	"ENSMUSG00000031613"	1	1	4.73529690311583e-05	1	"M2"
"GO:BP"	"GO:0062232"	"prostanoid catabolic process"	0.0171985983521178	"Hpgd"	"ENSMUSG00000031613"	1	1	0.000189411876124633	1	"M2"
"GO:BP"	"GO:1905344"	"prostaglandin catabolic process"	0.0171985983521178	"Hpgd"	"ENSMUSG00000031613"	1	1	0.000189411876124633	1	"M2"
"GO:BP"	"GO:0007497"	"posterior midgut development"	0.0171985983521239	"Ednrb"	"ENSMUSG00000022122"	9	1	4.73529690311583e-05	0.111111111111111	"M2"
"GO:BP"	"GO:1903988"	"iron ion export across plasma membrane"	0.0171985983521239	"Slc40a1"	"ENSMUSG00000025993"	5	1	4.73529690311583e-05	0.2	"M2"
"GO:BP"	"GO:0097070"	"ductus arteriosus closure"	0.0171985983521239	"Hpgd"	"ENSMUSG00000031613"	1	1	0.00028411781418695	1	"M2"
"GO:BP"	"GO:0034395"	"regulation of transcription from RNA polymerase II promoter in response to iron"	0.0171985983521239	"Slc40a1"	"ENSMUSG00000025993"	5	1	9.47059380623165e-05	0.2	"M2"
"GO:BP"	"GO:0060345"	"spleen trabecula formation"	0.0171985983521239	"Slc40a1"	"ENSMUSG00000025993"	5	1	4.73529690311583e-05	0.2	"M2"
"GO:BP"	"GO:0035645"	"enteric smooth muscle cell differentiation"	0.0171985983521239	"Ednrb"	"ENSMUSG00000022122"	9	1	4.73529690311583e-05	0.111111111111111	"M2"
"GO:BP"	"GO:0036323"	"vascular endothelial growth factor receptor-1 signaling pathway"	0.0171985983521239	"Flt1"	"ENSMUSG00000029648"	8	1	4.73529690311583e-05	0.125	"M2"
"GO:BP"	"GO:0000320"	"re-entry into mitotic cell cycle"	0.0177916534677046	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.000189411876124633	0.333333333333333	"M2"
"GO:BP"	"GO:0033601"	"positive regulation of mammary gland epithelial cell proliferation"	0.0271466807198894	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.000378823752249266	0.333333333333333	"M2"
"GO:BP"	"GO:0002074"	"extraocular skeletal muscle development"	0.0272213978848995	"Myom1"	"ENSMUSG00000024049"	6	1	0.000236764845155791	0.166666666666667	"M2"
"GO:BP"	"GO:2001199"	"negative regulation of dendritic cell differentiation"	0.0272213978848995	"Tmem176a"	"ENSMUSG00000023367"	7	1	0.000189411876124633	0.142857142857143	"M2"
"GO:BP"	"GO:0014043"	"negative regulation of neuron maturation"	0.0291885744782446	"Ednrb"	"ENSMUSG00000022122"	9	1	0.000189411876124633	0.111111111111111	"M2"
"GO:BP"	"GO:0014826"	"vein smooth muscle contraction"	0.0311864488663909	"Ednrb"	"ENSMUSG00000022122"	9	1	0.000236764845155791	0.111111111111111	"M2"
"GO:BP"	"GO:1905563"	"negative regulation of vascular endothelial cell proliferation"	0.0311864488663909	"Flt1"	"ENSMUSG00000029648"	8	1	0.000236764845155791	0.125	"M2"
"GO:BP"	"GO:1990839"	"response to endothelin"	0.0311864488663909	"Ednrb"	"ENSMUSG00000022122"	9	1	0.000236764845155791	0.111111111111111	"M2"
"GO:BP"	"GO:0060586"	"multicellular organismal iron ion homeostasis"	0.0311864488663909	"Slc40a1"	"ENSMUSG00000025993"	5	1	0.000426176721280424	0.2	"M2"
"GO:BP"	"GO:0086100"	"endothelin receptor signaling pathway"	0.0342883448159301	"Ednrb"	"ENSMUSG00000022122"	9	1	0.000331470783218108	0.111111111111111	"M2"
"GO:BP"	"GO:0060406"	"positive regulation of penile erection"	0.0342883448159301	"Ednrb"	"ENSMUSG00000022122"	9	1	0.000331470783218108	0.111111111111111	"M2"
"GO:MF"	"GO:0016404"	"15-hydroxyprostaglandin dehydrogenase (NAD+) activity"	0.00552831458513814	"Hpgd"	"ENSMUSG00000031613"	1	1	4.80723007403134e-05	1	"M2"
"GO:MF"	"GO:0036332"	"placental growth factor-activated receptor activity"	0.0078958837329139	"Flt1"	"ENSMUSG00000029648"	8	1	4.80723007403134e-05	0.125	"M2"
"GO:MF"	"GO:0004957"	"prostaglandin E receptor activity"	0.0078958837329139	"Hpgd"	"ENSMUSG00000031613"	1	1	0.000240361503701567	1	"M2"
"GO:MF"	"GO:0004962"	"endothelin receptor activity"	0.0078958837329139	"Ednrb"	"ENSMUSG00000022122"	9	1	9.61446014806269e-05	0.111111111111111	"M2"
