"Category"	"ID"	"Description"	"FDR"	"geneSymbols"	"genesEnriched"	"query_size"	"Count"	"BgRatio"	"GeneRatio"	"celltype"
"CORUM"	"CORUM:7446"	"Hook3-Iigp complex"	0.016759747395363	"Iigp1"	"ENSMUSG00000054072"	3	1	0.00186393289841566	0.333333333333333	"ECs"
"GO:BP"	"GO:0035458"	"cellular response to interferon-beta"	7.64491670215025e-06	"Iigp1,Tgtp2,Gm12185,Tgtp1,Gm4951"	"ENSMUSG00000054072,ENSMUSG00000078921,ENSMUSG00000048852,ENSMUSG00000078922,ENSMUSG00000073555"	29	5	0.0022729425134956	0.172413793103448	"ECs"
"GO:BP"	"GO:0035456"	"response to interferon-beta"	1.10600166365128e-05	"Iigp1,Tgtp2,Gm12185,Tgtp1,Gm4951"	"ENSMUSG00000054072,ENSMUSG00000078921,ENSMUSG00000048852,ENSMUSG00000078922,ENSMUSG00000073555"	29	5	0.00279382517283834	0.172413793103448	"ECs"
"GO:BP"	"GO:0090307"	"mitotic spindle assembly"	0.00309461915502121	"Kif11,Tpx2,Kif4"	"ENSMUSG00000012443,ENSMUSG00000027469,ENSMUSG00000034311"	19	3	0.00303059001799413	0.157894736842105	"ECs"
"GO:BP"	"GO:0008608"	"attachment of spindle microtubules to kinetochore"	0.00327425580035536	"Kif2c,Nuf2,Knl1"	"ENSMUSG00000028678,ENSMUSG00000026683,ENSMUSG00000027326"	36	3	0.00165735391609054	0.0833333333333333	"ECs"
"GO:BP"	"GO:0051042"	"negative regulation of calcium-independent cell-cell adhesion"	0.00381870104018986	"Bmp2"	"ENSMUSG00000027358"	1	1	4.73529690311583e-05	1	"ECs"
"GO:BP"	"GO:0007019"	"microtubule depolymerization"	0.00381870104018986	"Tpx2,Kif2c,Kif18a"	"ENSMUSG00000027469,ENSMUSG00000028678,ENSMUSG00000027115"	30	3	0.00241500142058907	0.1	"ECs"
"GO:BP"	"GO:0003181"	"atrioventricular valve morphogenesis"	0.00381870104018986	"Bmp2,Heyl"	"ENSMUSG00000027358,ENSMUSG00000032744"	10	2	0.0011364712567478	0.2	"ECs"
"GO:BP"	"GO:0007080"	"mitotic metaphase plate congression"	0.00381870104018986	"Kif2c,Kif18a,Nuf2"	"ENSMUSG00000028678,ENSMUSG00000027115,ENSMUSG00000026683"	34	3	0.0022729425134956	0.0882352941176471	"ECs"
"GO:BP"	"GO:0003272"	"endocardial cushion formation"	0.00381870104018986	"Bmp2,Heyl"	"ENSMUSG00000027358,ENSMUSG00000032744"	10	2	0.00118382422577896	0.2	"ECs"
