"Category" "ID" "Description" "FDR" "genesEnriched" "query_size" "Count" "BgRatio" "GeneRatio" "celltype" "geneSymbols"
"1" "CORUM" "CORUM:3226" "Cd74-Cd44 receptor complex" 0.0111835973904939 "ENSMUSG00000024610" 3 1 0.000931966449207828 0.333333333333333 "M1" "Cd74"
"2" "CORUM" "CORUM:6950" "GPS2-LXR-RXR complex" 0.0223046389829111 "ENSMUSG00000002108" 4 1 0.00279589934762349 0.25 "M1" "Nr1h3"
"3" "CORUM" "CORUM:7446" "Hook3-Iigp complex" 0.034582446574212 "ENSMUSG00000054072" 14 1 0.00186393289841566 0.0714285714285714 "M1" "Iigp1"
"4" "GO:BP" "GO:0002504" "antigen processing and presentation of peptide or polysaccharide antigen via MHC class II" 3.38872347644475e-07 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594,ENSMUSG00000060586" 12 4 0.00108911828771664 0.333333333333333 "M1" "H2-Ab1,Cd74,H2-Aa,H2-Eb1"
"5" "GO:BP" "GO:0032944" "regulation of mononuclear cell proliferation" 1.15021003912855e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000029084,ENSMUSG00000020053" 24 7 0.0106070650629794 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,Cd38,Igf1"
"6" "GO:BP" "GO:0050670" "regulation of lymphocyte proliferation" 1.15021003912855e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000029084,ENSMUSG00000020053" 24 7 0.010465006155886 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,Cd38,Igf1"
"7" "GO:BP" "GO:0050870" "positive regulation of T cell activation" 1.54120719247196e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012" 9 5 0.00932853489913818 0.555555555555556 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28"
"8" "GO:BP" "GO:0019886" "antigen processing and presentation of exogenous peptide antigen via MHC class II" 1.54120719247196e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594" 8 3 0.000568235628373899 0.375 "M1" "H2-Ab1,Cd74,H2-Aa"
"9" "GO:BP" "GO:0070663" "regulation of leukocyte proliferation" 1.54120719247196e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000029084,ENSMUSG00000020053" 24 7 0.0115067714745715 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,Cd38,Igf1"
"10" "GO:BP" "GO:1903039" "positive regulation of leukocyte cell-cell adhesion" 2.2529493716824e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012" 9 5 0.0102755942797613 0.555555555555556 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28"
"11" "GO:BP" "GO:0002495" "antigen processing and presentation of peptide antigen via MHC class II" 3.28388294549696e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594" 8 3 0.000852353442560849 0.375 "M1" "H2-Ab1,Cd74,H2-Aa"
"12" "GO:BP" "GO:0002821" "positive regulation of adaptive immune response" 3.28388294549696e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000026012,ENSMUSG00000020641" 18 5 0.00525617956245857 0.277777777777778 "M1" "H2-Ab1,Cd74,Cd4,Cd28,Rsad2"
"13" "GO:BP" "GO:0022409" "positive regulation of cell-cell adhesion" 3.28388294549696e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012" 9 5 0.0121697130410077 0.555555555555556 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28"
"14" "GO:BP" "GO:0032943" "mononuclear cell proliferation" 3.38663077214851e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000029084,ENSMUSG00000020053" 24 7 0.0147741263377214 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,Cd38,Igf1"
"15" "GO:BP" "GO:0046651" "lymphocyte proliferation" 3.38663077214851e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000029084,ENSMUSG00000020053" 24 7 0.0146320674306279 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,Cd38,Igf1"
"16" "GO:BP" "GO:0002478" "antigen processing and presentation of exogenous peptide antigen" 4.02398414019562e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594" 8 3 0.00104176531868548 0.375 "M1" "H2-Ab1,Cd74,H2-Aa"
"17" "GO:BP" "GO:0070661" "leukocyte proliferation" 4.5132427743518e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000029084,ENSMUSG00000020053" 24 7 0.0160526565015626 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,Cd38,Igf1"
