"pathway" "pval" "padj" "log2err" "ES" "NES" "size" "leadingEdge" "day" "type"
"REACTOME_2_LTR_CIRCLE_FORMATION" 0.436708860759494 0.823088998185023 0.0894366833718621 -0.648375483859089 -1.08364205758938 7 "Hmga1 Psip1 Lig4 Banf1" "D0_D2" "FAPs"
"REACTOME_ABACAVIR_METABOLISM" 0.0554530417017973 0.511798955471294 0.321775918075361 0.936786188966158 1.44611161680184 5 "Adh1 Nt52 Adal" "D0_D2" "FAPs"
"REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT" 0.048720529490336 0.480547983590547 0.321775918075361 0.957137961557912 1.40087608097655 3 "Abb1a Sl22a1" "D0_D2" "FAPs"
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM" 0.0146265502908339 0.216500541569041 0.380730400722792 0.93955003561752 1.53477792924621 8 "Adh1 Abb1a Nt52 Adal" "D0_D2" "FAPs"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT" 0.0714285714285714 0.552140762463343 0.216542836735348 0.614878049143448 1.34596553046775 94 "Aba6 Abb1a Aba9 Aba2 Abb9 Aba8b" "D0_D2" "FAPs"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS" 0.008367406319443 0.140634360365189 0.380730400722792 0.927326683787611 1.64060062228163 15 "Aba6 Aba9 Aba2 Aba7 Pex19" "D0_D2" "FAPs"
"REACTOME_ABC_TRANSPORTER_DISORDERS" 0.574539363484087 0.872636262513904 0.0632191170859458 0.430540485467162 0.914016225195086 69 "Aba1 Abb6 Erle1 Psmb8 Psmb5" "D0_D2" "FAPs"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS" 0.653488372093023 0.895792478590046 0.0730744399126987 -0.440495243871131 -0.855597875534002 20 "Anap1 Skp2 Cd16 Cd26 Cd23 Ube2s Anap5 Ube2e1" "D0_D2" "FAPs"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS" 0.175166297117517 0.676935763983703 0.156312403073186 -0.677456485651619 -1.31355333723699 17 "Cnd2 Cnd1 Cdkn1b" "D0_D2" "FAPs"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT" 0.577726218097448 0.872636262513904 0.0793434960134973 -0.455115579389827 -0.896300514070514 23 "Ctdp1 Nbp1 Nelfa Polr2b Polr2l Polr2e Polr2d Polr2f" "D0_D2" "FAPs"
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS" 0.296222664015905 0.743840899959823 0.109250039480711 0.805913126161142 1.17954199616799 3 "Chrna4 Chrne" "D0_D2" "FAPs"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE" 0.19926873857404 0.693989741302409 0.130777137971974 0.773786951517748 1.28353087451123 9 "Rab3a Ppfia2 Un13b Ppfia4" "D0_D2" "FAPs"
"REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION" 0.488172043010753 0.845684663583293 0.0843144320642653 -0.59819332434561 -1.00810117384097 8 "Plb1" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS" 0.105855855855856 0.60810025192171 0.206587922696891 -0.688122033491308 -1.40833061442887 29 "Jag1 Dlk1 Ubb Dtx2 Dner Noth1 Ith Arrb1 Mib2 Adam10 Arrb2" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5" 0.3767258382643 0.782942024456385 0.0940503465727813 0.730484794934009 1.12764530507969 5 "Ntrk2 Cdk5r1" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3" 0.520720720720721 0.857108559498956 0.0716527366829457 0.583381749331258 0.984909185379815 10 "Ntrk2 Grb2" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN" 0.859073359073359 0.969702230493597 0.051011413203915 0.415215215965551 0.653645826878451 6 "Ntrk2 Dok3" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K" 0.698841698841699 0.906730245156979 0.060640400949416 0.523112860448331 0.823501945667786 6 "Ntrk2 Pik3r1 Grb2" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS" 0.495344506517691 0.846607031810572 0.0758886900606117 0.618557426828067 1.01042866337936 8 "Ntrk2 Grb2" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K" 0.828512396694215 0.954622269255695 0.055826471778749 -0.405668631211482 -0.666896361450629 6 "Pik3a" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS" 0.929032258064516 0.990783210533995 0.0523759084097997 -0.336978419183626 -0.567890556635198 8 "Nras Kras Ntrk3" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3" 2.2549040343798e-05 0.000737071756237897 0.575610261071129 -0.889448514499742 -1.91371488685631 45 "H2b15 H2b8 H412 H2b7 H36 H2a4 H411 H311 H46 H38 H32 H310 H2b3 H2a13" "D0_D2" "FAPs"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION" 0.287703016241299 0.743840899959823 0.121543282035469 -0.579084986616826 -1.14044474568646 23 "Mapkapk2 Ubb" "D0_D2" "FAPs"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS" 0.0944055944055944 0.605020189894139 0.191892240384838 0.742863589453832 1.38289200354192 20 "Tuba4a Tubb3" "D0_D2" "FAPs"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS" 6.2360128972653e-07 4.25404531991707e-05 0.659444398037935 -0.848314588273328 -2.02961745411867 95 "H2b15 H2b8 H412 H2b7 H36 H2a4 H411 H311 Wdr5 H46 H38 H32 H310 H2b3 H2a13" "D0_D2" "FAPs"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS" 0.384615384615385 0.784735420626188 0.102821842840815 -0.508015435320055 -1.04973304383728 37 "Cd25a Cd45 Hus1 Rpa2 Or1 Rad9a Cd25 Mm10 Mm5 Cdk2 Mm2 Chek1 Mm6 Cd6 Mm7" "D0_D2" "FAPs"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA" 0.890287769784173 0.981347867849085 0.0461379160269737 0.357242724913595 0.632023910284742 15 "Ppp3 Akt3" "D0_D2" "FAPs"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS" 0.968468468468468 1 0.0525898950623616 -0.293458208181514 -0.600600123993394 29 "Ywhag Sfn Akt1 Ywhab Tfdp1 Dynll1 Ywhah Ywhae Akt2 Pmaip1 Mapk8" "D0_D2" "FAPs"
"REACTOME_ACTIVATION_OF_C3_AND_C5" 0.0589193152002356 0.525252304256646 0.321775918075361 0.915026914636925 1.44046629611838 6 "Cfb C3 C2 C4b" "D0_D2" "FAPs"
