"Cluster" "Category" "ID" "Description" "FDR" "query_size" "Count" "term_size" "effective_domain_size" "GeneRatio" "BgRatio"
"cluster_1" "GO:MF" "GO:0032550" "purine ribonucleoside binding" 0.0352155187051696 25 5 313 13399 0.2 0.0233599522352414
"cluster_1" "GO:MF" "GO:0005525" "GTP binding" 0.0352155187051696 25 5 313 13399 0.2 0.0233599522352414
"cluster_1" "GO:MF" "GO:0001883" "purine nucleoside binding" 0.0352155187051696 25 5 313 13399 0.2 0.0233599522352414
"cluster_1" "GO:MF" "GO:0032549" "ribonucleoside binding" 0.0368082676445558 25 5 316 13399 0.2 0.0235838495410105
"cluster_1" "GO:MF" "GO:0001882" "nucleoside binding" 0.0368082676445558 25 5 316 13399 0.2 0.0235838495410105
"cluster_1" "GO:MF" "GO:0032561" "guanyl ribonucleotide binding" 0.0368082676445558 25 5 316 13399 0.2 0.0235838495410105
"cluster_1" "GO:MF" "GO:0019001" "guanyl nucleotide binding" 0.0401584210748461 25 5 322 13399 0.2 0.0240316441525487
"cluster_2" "GO:MF" "GO:0005504" "fatty acid binding" 0.0300363526690821 63 2 4 13399 0.0317460317460317 0.00029852974102545
"cluster_2" "KEGG" "KEGG:05146" "Amoebiasis" 0.00168203044262178 48 6 107 8787 0.125 0.0121770797769432
"cluster_2" "KEGG" "KEGG:04062" "Chemokine signaling pathway" 0.00487792054906316 48 7 189 8787 0.145833333333333 0.0215090474564698
"cluster_2" "KEGG" "KEGG:04061" "Viral protein interaction with cytokine and cytokine receptor" 0.00992370948253477 48 5 92 8787 0.104166666666667 0.0104700125184932
"cluster_2" "REAC" "REAC:R-MMU-109582" "Hemostasis" 0.0337891357526809 58 13 587 8631 0.224137931034483 0.0680106592515352
"cluster_2" "WP" "WP:WP4474" "Circulating monocytes and cardiac macrophages in diastolic dysfunction" 0.0156751276464538 38 2 4 4526 0.0526315789473684 0.000883782589482987
"cluster_2" "WP" "WP:WP2432" "Spinal Cord Injury" 0.0492682281303299 38 5 99 4526 0.131578947368421 0.0218736190897039
"cluster_3" "HP" "HP:0025019" "Arterial rupture" 0.0163347931977965 30 3 8 4637 0.1 0.00172525339659262
"cluster_3" "HP" "HP:0003179" "Protrusio acetabuli" 0.0346980812587373 30 3 10 4637 0.1 0.00215656674574078
"cluster_3" "HP" "HP:0006201" "Hypermobility of distal interphalangeal joints" 0.0493542864116059 30 2 2 4637 0.0666666666666667 0.000431313349148156
"cluster_3" "HP" "HP:0005897" "Severe generalized osteoporosis" 0.0493542864116059 30 2 2 4637 0.0666666666666667 0.000431313349148156
"cluster_3" "HP" "HP:0005005" "Femoral bowing present at birth, straightening with time" 0.0493542864116059 30 2 2 4637 0.0666666666666667 0.000431313349148156
"cluster_3" "HP" "HP:0003321" "Biconcave flattened vertebrae" 0.0493542864116059 30 2 2 4637 0.0666666666666667 0.000431313349148156
"cluster_3" "HP" "HP:0005623" "Absent ossification of calvaria" 0.0493542864116059 30 2 2 4637 0.0666666666666667 0.000431313349148156
"cluster_3" "KEGG" "KEGG:04926" "Relaxin signaling pathway" 0.0143587944987076 37 5 129 8787 0.135135135135135 0.0146807784226699
"cluster_3" "MIRNA" "MIRNA:mmu-let-7e-5p" "mmu-let-7e-5p" 0.00132860884233391 34 4 30 7131 0.117647058823529 0.00420698359276399
"cluster_3" "MIRNA" "MIRNA:mmu-miR-452-3p" "mmu-miR-452-3p" 0.0293513101113031 34 3 26 7131 0.0882352941176471 0.00364605244706212
"cluster_3" "REAC" "REAC:R-MMU-1650814" "Collagen biosynthesis and modifying enzymes" 0.00110604214063236 36 5 59 8631 0.138888888888889 0.00683582435407253
"cluster_3" "REAC" "REAC:R-MMU-1474244" "Extracellular matrix organization" 0.00229937534034057 36 8 258 8631 0.222222222222222 0.0298922488703511
"cluster_3" "REAC" "REAC:R-MMU-390522" "Striated Muscle Contraction" 0.00262930624136868 36 4 33 8631 0.111111111111111 0.00382342718109141
"cluster_3" "REAC" "REAC:R-MMU-8948216" "Collagen chain trimerization" 0.00467307529336741 36 4 38 8631 0.111111111111111 0.00440273432974163
