"Cluster" "Category" "ID" "Description" "FDR" "query_size" "Count" "term_size" "effective_domain_size" "GeneRatio" "BgRatio"
"cluster_1" "GO:CC" "GO:0031012" "extracellular matrix" 0.011456974183937 34 4 57 7218 0.117647058823529 0.00789692435577722
"cluster_1" "GO:CC" "GO:0030312" "external encapsulating structure" 0.011456974183937 34 4 57 7218 0.117647058823529 0.00789692435577722
"cluster_1" "GO:CC" "GO:0071944" "cell periphery" 0.0367812751446962 34 10 627 7218 0.294117647058824 0.0868661679135495
"cluster_1" "GO:MF" "GO:0005201" "extracellular matrix structural constituent" 0.0452669901316621 66 3 24 13399 0.0454545454545455 0.0017911784461527
"cluster_1" "HP" "HP:0001633" "Abnormal mitral valve morphology" 9.21125992122774e-07 30 10 110 4637 0.333333333333333 0.0237222342031486
"cluster_1" "HP" "HP:0001634" "Mitral valve prolapse" 2.15630529085683e-06 30 9 86 4637 0.3 0.0185464740133707
"cluster_1" "HP" "HP:0006705" "Abnormal atrioventricular valve morphology" 4.82926727043387e-06 30 10 130 4637 0.333333333333333 0.0280353676946301
"cluster_1" "HP" "HP:0002616" "Aortic root aneurysm" 1.23501266280062e-05 30 8 72 4637 0.266666666666667 0.0155272805693336
"cluster_1" "HP" "HP:0010299" "Abnormality of dentin" 1.87409900850282e-05 30 5 14 4637 0.166666666666667 0.00301919344403709
"cluster_1" "HP" "HP:0000993" "Molluscoid pseudotumors" 2.58240195744345e-05 30 4 6 4637 0.133333333333333 0.00129394004744447
"cluster_1" "HP" "HP:0025019" "Arterial rupture" 0.000119432457399583 30 4 8 4637 0.133333333333333 0.00172525339659262
"cluster_1" "HP" "HP:0012727" "Thoracic aortic aneurysm" 0.00013399368806672 30 8 97 4637 0.266666666666667 0.0209186974336856
"cluster_1" "HP" "HP:0003179" "Protrusio acetabuli" 0.000355087544874348 30 4 10 4637 0.133333333333333 0.00215656674574078
"cluster_1" "HP" "HP:0001654" "Abnormal heart valve morphology" 0.000658023912810614 30 11 276 4637 0.366666666666667 0.0595212421824455
"cluster_1" "HP" "HP:0001653" "Mitral regurgitation" 0.000661594664515071 30 8 119 4637 0.266666666666667 0.0256631442743153
"cluster_1" "HP" "HP:0030009" "Cervical insufficiency" 0.00118738399309886 30 3 4 4637 0.1 0.000862626698296312
"cluster_1" "HP" "HP:0000703" "Dentinogenesis imperfecta" 0.00119277919048817 30 4 13 4637 0.133333333333333 0.00280353676946301
"cluster_1" "HP" "HP:0025323" "Abnormal arterial physiology" 0.00138584971452004 30 8 131 4637 0.266666666666667 0.0282510243692042
"cluster_1" "HP" "HP:0031481" "Abnormal mitral valve physiology" 0.00155621312287122 30 8 133 4637 0.266666666666667 0.0286823377183524
"cluster_1" "HP" "HP:0004942" "Aortic aneurysm" 0.00206239618640789 30 8 138 4637 0.266666666666667 0.0297606210912228
