"Cluster" "Category" "ID" "Description" "FDR" "query_size" "Count" "term_size" "effective_domain_size" "GeneRatio" "BgRatio" "enriched_terms" "CellType" "age"
"cluster_1" "GO:MF" "GO:0005201" "extracellular matrix structural constituent" 0.0452669901316621 66 3 24 13399 0.0454545454545455 0.0017911784461527 "extracellular matrix structural constituent" "ECs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-1474244" "Extracellular matrix organization" 2.77560751859536e-06 39 11 258 8631 0.282051282051282 0.0298922488703511 "Extracellular matrix organization" "ECs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-8948216" "Collagen chain trimerization" 3.57218749824609e-06 39 6 38 8631 0.153846153846154 0.00440273432974163 "Collagen chain trimerization" "ECs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-1474290" "Collagen formation" 2.68149424159881e-05 39 7 88 8631 0.179487179487179 0.0101958058162438 "Collagen formation" "ECs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-1650814" "Collagen biosynthesis and modifying enzymes" 5.44109345014569e-05 39 6 59 8631 0.153846153846154 0.00683582435407253 "Collagen biosynthesis and modifying enzymes" "ECs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-2022090" "Assembly of collagen fibrils and other multimeric structures" 7.35067818656477e-05 39 6 62 8631 0.153846153846154 0.00718340864326266 "Assembly of collagen fibrils and other multimer..." "ECs" "Young"
"cluster_2" "GO:BP" "GO:0002376" "immune system process" 3.50252825623001e-05 37 10 331 11240 0.27027027027027 0.0294483985765125 "immune system process" "ECs" "Young"
"cluster_2" "GO:BP" "GO:0006955" "immune response" 8.15875556329074e-05 37 9 272 11240 0.243243243243243 0.0241992882562278 "immune response" "ECs" "Young"
"cluster_2" "GO:BP" "GO:0009605" "response to external stimulus" 0.00288794619069714 37 7 219 11240 0.189189189189189 0.0194839857651246 "response to external stimulus" "ECs" "Young"
"cluster_2" "GO:BP" "GO:0006935" "chemotaxis" 0.00315748772827681 37 5 82 11240 0.135135135135135 0.00729537366548043 "chemotaxis" "ECs" "Young"
"cluster_2" "GO:BP" "GO:0042330" "taxis" 0.00315748772827681 37 5 82 11240 0.135135135135135 0.00729537366548043 "taxis" "ECs" "Young"
"cluster_2" "GO:MF" "GO:0042379" "chemokine receptor binding" 1.80469873655784e-05 41 5 39 13399 0.121951219512195 0.00291066497499813 "chemokine receptor binding" "ECs" "Young"
"cluster_2" "GO:MF" "GO:0008009" "chemokine activity" 1.80469873655784e-05 41 5 39 13399 0.121951219512195 0.00291066497499813 "chemokine activity" "ECs" "Young"
"cluster_2" "GO:MF" "GO:0001664" "G protein-coupled receptor binding" 0.000163316095844745 41 5 60 13399 0.121951219512195 0.00447794611538174 "G protein-coupled receptor binding" "ECs" "Young"
"cluster_2" "GO:MF" "GO:0005125" "cytokine activity" 0.000436251618195574 41 5 73 13399 0.121951219512195 0.00544816777371446 "cytokine activity" "ECs" "Young"
"cluster_2" "GO:MF" "GO:0048018" "receptor ligand activity" 0.00145845318032527 41 7 248 13399 0.170731707317073 0.0185088439435779 "receptor ligand activity" "ECs" "Young"
"cluster_2" "GO:MF" "GO:0030546" "signaling receptor activator activity" 0.00145845318032527 41 7 248 13399 0.170731707317073 0.0185088439435779 "signaling receptor activator activity" "ECs" "Young"
"cluster_2" "REAC" "REAC:R-MMU-380108" "Chemokine receptors bind chemokines" 0.019283560765347 39 4 51 8631 0.102564102564103 0.00590893291623219 "Chemokine receptors bind chemokines" "ECs" "Young"
"cluster_2" "REAC" "REAC:R-MMU-375276" "Peptide ligand-binding receptors" 0.0373938955186306 39 6 182 8631 0.153846153846154 0.0210867802108678 "Peptide ligand-binding receptors" "ECs" "Young"
"cluster_3" "GO:BP" "GO:0007049" "cell cycle" 9.6262806218899e-13 104 20 202 11240 0.192307692307692 0.0179715302491103 "cell cycle" "ECs" "Young"
"cluster_3" "GO:BP" "GO:0022402" "cell cycle process" 5.66163224564889e-12 104 17 141 11240 0.163461538461538 0.0125444839857651 "cell cycle process" "ECs" "Young"
"cluster_3" "GO:BP" "GO:0051726" "regulation of cell cycle" 4.23208525755577e-10 104 14 106 11240 0.134615384615385 0.00943060498220641 "regulation of cell cycle" "ECs" "Young"
"cluster_3" "GO:BP" "GO:0010564" "regulation of cell cycle process" 2.58965235040221e-09 104 10 43 11240 0.0961538461538462 0.00382562277580071 "regulation of cell cycle process" "ECs" "Young"
"cluster_3" "GO:BP" "GO:0007059" "chromosome segregation" 2.97156619145377e-08 104 10 54 11240 0.0961538461538462 0.00480427046263345 "chromosome segregation" "ECs" "Young"
"cluster_3" "GO:MF" "GO:0008017" "microtubule binding" 1.41358686139532e-08 119 12 99 13399 0.100840336134454 0.00738861109037988 "microtubule binding" "ECs" "Young"
"cluster_3" "GO:MF" "GO:0015631" "tubulin binding" 1.13311679407323e-07 119 12 118 13399 0.100840336134454 0.00880662736025076 "tubulin binding" "ECs" "Young"
"cluster_3" "GO:MF" "GO:0005524" "ATP binding" 4.0864002749151e-07 119 31 1061 13399 0.260504201680672 0.0791850138070005 "ATP binding" "ECs" "Young"
"cluster_3" "GO:MF" "GO:0003774" "motor activity" 4.47814988949265e-07 119 11 105 13399 0.092436974789916 0.00783640570191805 "motor activity" "ECs" "Young"
"cluster_3" "GO:MF" "GO:0032559" "adenyl ribonucleotide binding" 5.73321695609028e-07 119 31 1076 13399 0.260504201680672 0.080304500335846 "adenyl ribonucleotide binding" "ECs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-1640170" "Cell Cycle" 3.83636343325709e-25 102 46 577 8631 0.450980392156863 0.0668520449542347 "Cell Cycle" "ECs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-69278" "Cell Cycle, Mitotic" 2.67407515103501e-22 102 41 500 8631 0.401960784313726 0.0579307148650214 "Cell Cycle, Mitotic" "ECs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-68886" "M Phase" 7.66385324003366e-19 102 34 385 8631 0.333333333333333 0.0446066504460665 "M Phase" "ECs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-69620" "Cell Cycle Checkpoints" 1.18730739671515e-16 102 28 275 8631 0.274509803921569 0.0318618931757618 "Cell Cycle Checkpoints" "ECs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-2500257" "Resolution of Sister Chromatid Cohesion" 4.29088180038341e-16 102 20 113 8631 0.196078431372549 0.0130923415594948 "Resolution of Sister Chromatid Cohesion" "ECs" "Young"
"cluster_4" "GO:BP" "GO:0046068" "cGMP metabolic process" 0.0332003009226723 34 2 5 11240 0.0588235294117647 0.000444839857651246 "cGMP metabolic process" "ECs" "Young"
"cluster_4" "GO:BP" "GO:0006182" "cGMP biosynthetic process" 0.0332003009226723 34 2 5 11240 0.0588235294117647 0.000444839857651246 "cGMP biosynthetic process" "ECs" "Young"
"cluster_4" "GO:MF" "GO:0004383" "guanylate cyclase activity" 0.0111799950166612 35 2 5 13399 0.0571428571428571 0.000373162176281812 "guanylate cyclase activity" "ECs" "Young"
"cluster_5" "GO:MF" "GO:0005178" "integrin binding" 0.00160646707148549 94 3 6 13399 0.0319148936170213 0.000447794611538174 "integrin binding" "ECs" "Young"
"cluster_5" "GO:MF" "GO:0048018" "receptor ligand activity" 0.0145479186018345 94 9 248 13399 0.0957446808510638 0.0185088439435779 "receptor ligand activity" "ECs" "Young"
"cluster_5" "GO:MF" "GO:0030546" "signaling receptor activator activity" 0.0145479186018345 94 9 248 13399 0.0957446808510638 0.0185088439435779 "signaling receptor activator activity" "ECs" "Young"
"cluster_5" "GO:MF" "GO:0030545" "receptor regulator activity" 0.0164591589625295 94 9 252 13399 0.0957446808510638 0.0188073736846033 "receptor regulator activity" "ECs" "Young"
"cluster_5" "GO:MF" "GO:0005102" "signaling receptor binding" 0.0228369686213011 94 12 464 13399 0.127659574468085 0.0346294499589522 "signaling receptor binding" "ECs" "Young"
