"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"id"	"contrast"	"celltype"	"repadj"	"genesymbol"
410.885086507637	1.5276322864907	0.51954291249898	2.9403389974908	0.00327853336266411	0.18308877927772	"ENSMUSG00000075014"	"D4_vs_D2"	"M2"	0.36827258705536	"Gm10800"
156.499493056998	-1.34170429113216	0.794391600861949	-1.68897089253758	0.0912250081611018	0.620485842223964	"ENSMUSG00000034438"	"D4_vs_D2"	"M2"	0.825514748806979	"Gbp8"
469.513974971374	-1.24452029723599	0.326222656073448	-3.81494134164547	0.000136215286110008	0.0453596902746326	"ENSMUSG00000023367"	"D4_vs_D2"	"M2"	0.117706032526825	"Tmem176a"
89.2664190405943	1.96347197338279	0.542551726304647	3.61895811622629	0.000295791502189267	0.0654619553316983	"ENSMUSG00000029648"	"D4_vs_D2"	"M2"	0.160433120424199	"Flt1"
110.330539932345	2.76272131825188	1.04922755114713	2.63310024144082	0.00846093717620797	0.258578460783198	"ENSMUSG00000030787"	"D4_vs_D2"	"M2"	0.469909894587883	"Lyve1"
474.995230479058	1.44434270993273	0.31413194896855	4.59788542577481	4.26800580218781e-06	0.00383736401674706	"ENSMUSG00000070348"	"D4_vs_D2"	"M2"	0.0125394010468278	"Ccnd1"
673.489032625907	-1.49555473551408	1.39659769630445	-1.07085579438623	0.284234275015105	0.800056507107802	"ENSMUSG00000025279"	"D4_vs_D2"	"M2"	0.939510651627386	"Dnase1l3"
321.846236261271	-1.91376113983453	0.356445413703192	-5.36901602955706	7.91673835917484e-08	0.000355896972936705	"ENSMUSG00000031613"	"D4_vs_D2"	"M2"	0.00116296886496278	"Hpgd"
191.83063010197	1.21392699510521	0.285539305873179	4.25134813364144	2.12487572766457e-05	0.0131439245354188	"ENSMUSG00000060044"	"D4_vs_D2"	"M2"	0.038429450201431	"Tmem26"
79.3935410288397	-1.43770452818868	0.480707281098604	-2.99081080049997	0.00278237825388147	0.166775752537656	"ENSMUSG00000021838"	"D4_vs_D2"	"M2"	0.342034615477145	"Samd4"
1510.09616952328	1.37298337476143	0.979071856956667	1.40233157046225	0.160816257119381	0.708079807913982	"ENSMUSG00000000204"	"D4_vs_D2"	"M2"	0.889352471170139	"Slfn4"
302.047362671403	1.38167175424645	0.696576284458958	1.98351822344859	0.0473095735576664	0.506156806356712	"ENSMUSG00000035352"	"D4_vs_D2"	"M2"	0.727143944505145	"Ccl12"
2435.51198360089	1.46191170978156	0.567492688005808	2.57608906807025	0.00999249025633106	0.273309753892768	"ENSMUSG00000035373"	"D4_vs_D2"	"M2"	0.489715186913316	"Ccl7"
155.430145369662	1.22200745737947	0.778954696232188	1.56877859943632	0.116699536628407	0.665056683312139	"ENSMUSG00000069274"	"D4_vs_D2"	"M2"	0.859242158125806	"H4c6"
306.050939397804	1.62771317114343	1.12617787193125	1.44534288207254	0.148361598476875	0.694387887509415	"ENSMUSG00000022584"	"D4_vs_D2"	"M2"	0.879206293636807	"Ly6c2"
82.6104889372586	-1.27695761075083	0.464695523010551	-2.74794472405932	0.00599701183823106	0.233509192576148	"ENSMUSG00000009739"	"D4_vs_D2"	"M2"	0.43870160584434	"Pou6f1"
309.300418782743	1.60995085733389	0.561590691193468	2.86676913022275	0.00414685403045261	0.203242142571878	"ENSMUSG00000022528"	"D4_vs_D2"	"M2"	0.389197792185611	"Hes1"
663.069214025073	-1.25065588648221	0.4406500854344	-2.83820638602463	0.00453678374897769	0.204155062518505	"ENSMUSG00000023951"	"D4_vs_D2"	"M2"	0.390517440526299	"Vegfa"
274.270665940352	-2.14402092524302	0.643178961177252	-3.33347490303272	0.000857684089465606	0.0988645852357085	"ENSMUSG00000032915"	"D4_vs_D2"	"M2"	0.229079623168177	"Adgre4"
84.0143391720136	-1.2512045756613	0.366647072516049	-3.41255847776212	0.000643561175892499	0.0876808518881991	"ENSMUSG00000025020"	"D4_vs_D2"	"M2"	0.210069676764299	"Slit1"
385.660133571639	-1.63177274467211	0.666833524975283	-2.44704665191	0.0144032194643	0.32976357284232	"ENSMUSG00000054072"	"D4_vs_D2"	"M2"	0.554166202967933	"Iigp1"
160.258244066639	-2.29802678961844	0.485774212838623	-4.73064796130267	2.23804336097853e-06	0.00315678394785535	"ENSMUSG00000073555"	"D4_vs_D2"	"M2"	0.01031546128217	"Gm4951"
211.905073460735	-1.67827126933264	0.396624317291333	-4.23138772931034	2.3225391479375e-05	0.0131439245354188	"ENSMUSG00000025993"	"D4_vs_D2"	"M2"	0.038429450201431	"Slc40a1"
84.3254226741897	-1.80825747275788	0.589184997793475	-3.06908268121199	0.00214717157447011	0.153903433642427	"ENSMUSG00000044708"	"D4_vs_D2"	"M2"	0.32350718388683	"Kcnj10"
159.370423061375	-1.55222445554368	0.976897164045039	-1.58893332141162	0.112075447330534	0.660222849807951	"ENSMUSG00000017737"	"D4_vs_D2"	"M2"	0.857917419327426	"Mmp9"
73.3997747671473	-1.4163600076091	0.419962150083277	-3.37258966630265	0.000744648358074167	0.0942976533442935	"ENSMUSG00000050357"	"D4_vs_D2"	"M2"	0.22554400783731	"Carmil2"
177.542537033442	-1.42777765027211	0.41995572056384	-3.39982903043957	0.000674279997777495	0.0878616153625719	"ENSMUSG00000018427"	"D4_vs_D2"	"M2"	0.210069676764299	"Ypel2"
74.7235775620981	-1.21837027021063	0.50940661510531	-2.39174410791419	0.0167685289260477	0.350267474318008	"ENSMUSG00000020604"	"D4_vs_D2"	"M2"	0.581600035459246	"Arsg"
117.97785427316	-1.55143639271156	0.37616729182402	-4.1243256030813	3.71822593866695e-05	0.0167536239124903	"ENSMUSG00000024049"	"D4_vs_D2"	"M2"	0.0456216837716388	"Myom1"
2.38546069851173	2.03977033570282	2.59139428166218	0.787132375083604	0.431204379058202	0.999564522331868	"ENSMUSG00000000247"	"D7_vs_D4"	"M2"	0.97052933226298	"Lhx2"
10.5503478709483	-2.3834757658852	1.5722838073701	-1.51593227298572	0.129536478737479	0.976865541073061	"ENSMUSG00000000817"	"D7_vs_D4"	"M2"	0.865416808460076	"Fasl"
5.2729455512974	2.08347387975144	1.85747305045639	1.12167112154845	0.262002299546094	0.999564522331868	"ENSMUSG00000000889"	"D7_vs_D4"	"M2"	0.931675145250479	"Dbh"
